Brand_name,Trend_Total_Reviews,Month,Year,per_positive
Kent,606,1,2017,70.7920792079
Kent,453,2,2017,60.9271523179
Kent,325,3,2017,65.5384615385
Kent,368,4,2017,59.7826086957
Kent,649,5,2017,74.5762711864
Kent,396,6,2017,61.3636363636
Kent,359,7,2017,62.1169916435
Kent,418,8,2017,58.6124401914
Kent,769,9,2017,73.2119635891
Kent,976,10,2017,67.2131147541
Kent,269,11,2017,68.4014869888
Kent,155,12,2017,72.9032258065
HUL Pureit,360,1,2017,71.1111111111
HUL Pureit,217,2,2017,62.2119815668
HUL Pureit,152,3,2017,75.6578947368
HUL Pureit,338,4,2017,55.6213017751
HUL Pureit,346,5,2017,70.2312138728
HUL Pureit,229,6,2017,62.0087336245
HUL Pureit,260,7,2017,56.5384615385
HUL Pureit,242,8,2017,66.9421487603
HUL Pureit,340,9,2017,70.5882352941
HUL Pureit,496,10,2017,71.3709677419
HUL Pureit,106,11,2017,67.9245283019
HUL Pureit,110,12,2017,61.8181818182
Eureka Forbes,878,1,2017,53.1890660592
Eureka Forbes,808,2,2017,53.3415841584
Eureka Forbes,1158,3,2017,43.4369602763
Eureka Forbes,1050,4,2017,52.8571428571
Eureka Forbes,1674,5,2017,60.5734767025
Eureka Forbes,1166,6,2017,48.885077187
Eureka Forbes,1385,7,2017,53.7906137184
Eureka Forbes,1079,8,2017,47.7293790547
Eureka Forbes,1006,9,2017,67.7932405567
Eureka Forbes,1783,10,2017,55.5243970836
Eureka Forbes,1185,11,2017,50.8016877637
Eureka Forbes,864,12,2017,49.537037037
Tata Swach,54,1,2017,55.5555555556
Tata Swach,63,2,2017,65.0793650794
Tata Swach,81,3,2017,56.7901234568
Tata Swach,76,4,2017,57.8947368421
Tata Swach,143,5,2017,58.041958042
Tata Swach,72,6,2017,45.8333333333
Tata Swach,86,7,2017,48.8372093023
Tata Swach,70,8,2017,40.0
Tata Swach,26,9,2017,76.9230769231
Tata Swach,34,10,2017,64.7058823529
Tata Swach,17,11,2017,41.1764705882
Tata Swach,13,12,2017,15.3846153846
Livpure,37,1,2017,86.4864864865
Livpure,30,2,2017,53.3333333333
Livpure,53,3,2017,96.2264150943
Livpure,40,4,2017,62.5
Livpure,254,5,2017,75.5905511811
Livpure,282,6,2017,72.695035461
Livpure,232,7,2017,76.724137931
Livpure,327,8,2017,81.0397553517
Livpure,565,9,2017,72.7433628319
Livpure,1402,10,2017,70.2567760342
Livpure,593,11,2017,67.7908937605
Livpure,457,12,2017,82.7133479212
Protek,23,8,2017,100.0
Protek,102,9,2017,82.3529411765
Protek,315,10,2017,54.9206349206
Protek,115,11,2017,41.7391304348
Protek,52,12,2017,75.0
Panasonic,7,1,2017,57.1428571429
Panasonic,2,2,2017,100.0
Panasonic,18,3,2017,44.4444444444
Panasonic,10,4,2017,60.0
Panasonic,6,5,2017,100.0
Panasonic,9,6,2017,22.2222222222
Panasonic,9,7,2017,44.4444444444
Panasonic,2,9,2017,100.0
Panasonic,2,10,2017,50.0
Panasonic,6,11,2017,50.0
Blue star,1,3,2017,100.0
Blue star,1,8,2017,100.0
Blue star,2,9,2017,100.0
Blue star,14,10,2017,64.2857142857
Blue star,5,11,2017,100.0
Blue star,5,12,2017,100.0
Moonbow,7,10,2017,85.7142857143
Moonbow,6,11,2017,50.0
Prestige,1,5,2017,100.0
Aqua Grand,3,7,2017,0.0
Aqua Grand,10,8,2017,20.0
Aqua Grand,16,9,2017,25.0
Aqua Grand,7,10,2017,71.4285714286
Aqua Grand,7,11,2017,71.4285714286
Whirlpool,2,1,2017,100.0
Whirlpool,2,2,2017,100.0
Whirlpool,2,4,2017,100.0
Whirlpool,7,5,2017,100.0
Whirlpool,11,6,2017,72.7272727273
Whirlpool,1,7,2017,100.0
Whirlpool,3,9,2017,100.0
Whirlpool,1,10,2017,100.0
Whirlpool,3,11,2017,33.3333333333
Nasaka,6,10,2017,16.6666666667
Nasaka,2,11,2017,50.0
LG,1,4,2017,100.0
LG,4,5,2017,50.0
