Brand_name,Trend_Total_Reviews,Month,Year,per_positive
Kent,606,1,2017,70.79207921
Kent,453,2,2017,60.92715232
Kent,325,3,2017,65.53846154
Kent,368,4,2017,59.7826087
Kent,649,5,2017,74.57627119
Kent,396,6,2017,61.36363636
Kent,359,7,2017,62.11699164
Kent,418,8,2017,58.61244019
Kent,769,9,2017,73.21196359
Kent,976,10,2017,67.21311475
Kent,269,11,2017,68.40148699
Kent,155,12,2017,72.90322581
HUL Pureit,360,1,2017,71.11111111
HUL Pureit,217,2,2017,62.21198157
HUL Pureit,152,3,2017,75.65789474
HUL Pureit,338,4,2017,55.62130178
HUL Pureit,346,5,2017,70.23121387
HUL Pureit,229,6,2017,62.00873362
HUL Pureit,260,7,2017,56.53846154
HUL Pureit,242,8,2017,66.94214876
HUL Pureit,340,9,2017,70.58823529
HUL Pureit,496,10,2017,71.37096774
HUL Pureit,106,11,2017,67.9245283
HUL Pureit,110,12,2017,61.81818182
Eureka Forbes,878,1,2017,53.18906606
Eureka Forbes,808,2,2017,53.34158416
Eureka Forbes,1158,3,2017,43.43696028
Eureka Forbes,1050,4,2017,52.85714286
Eureka Forbes,1674,5,2017,60.5734767
Eureka Forbes,1166,6,2017,48.88507719
Eureka Forbes,1385,7,2017,53.79061372
Eureka Forbes,1079,8,2017,47.72937905
Eureka Forbes,1006,9,2017,67.79324056
Eureka Forbes,1783,10,2017,55.52439708
Eureka Forbes,1185,11,2017,50.80168776
Eureka Forbes,864,12,2017,49.53703704
Tata Swach,54,1,2017,55.55555556
Tata Swach,63,2,2017,65.07936508
Tata Swach,81,3,2017,56.79012346
Tata Swach,76,4,2017,57.89473684
Tata Swach,143,5,2017,58.04195804
Tata Swach,72,6,2017,45.83333333
Tata Swach,86,7,2017,48.8372093
Tata Swach,70,8,2017,40
Tata Swach,26,9,2017,76.92307692
Tata Swach,34,10,2017,64.70588235
Tata Swach,17,11,2017,41.17647059
Tata Swach,13,12,2017,15.38461538
Livpure,37,1,2017,86.48648649
Livpure,30,2,2017,53.33333333
Livpure,53,3,2017,96.22641509
Livpure,40,4,2017,62.5
Livpure,254,5,2017,75.59055118
Livpure,282,6,2017,72.69503546
Livpure,232,7,2017,76.72413793
Livpure,327,8,2017,81.03975535
Livpure,565,9,2017,72.74336283
Livpure,1402,10,2017,70.25677603
Livpure,593,11,2017,67.79089376
Livpure,457,12,2017,82.71334792
