source_product_id,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
WAPDZMHA3GEKDFRY,12,2,0,2,12,28,3.0,50.0
631166933,1,0,2,10,10,23,4.217,80.425
WAPDZMHAM8GUBFZC,43,12,2,9,14,80,2.237,30.925
WAPDZMHAHCSNSHVG,8,0,0,3,6,17,2.941,48.525
6.37335E+11,1,0,3,15,19,38,4.342,83.55
WAPE8X4XRQF8AN6M,54,6,12,28,92,192,3.51,62.75
1337249979,3,0,2,37,56,98,4.459,86.475
WAPDZMHASQF9TWBM,75,14,16,42,83,230,3.191,54.775
6.7478E+11,1,1,1,2,11,16,4.313,82.825
WAPDZMHA5EJMXJYZ,54,0,10,30,38,132,2.985,49.625
WAPDZMHAB2BHQK7E,22,6,0,2,16,46,2.652,41.3
WAPEEDNTZBW7HHJE,4,0,4,2,8,18,3.556,63.9
6.36732E+11,1,1,0,1,16,19,4.579,89.475
WAPDZMHAHFZYAQKH,36,9,8,10,44,107,3.159,53.975
WAPDZMHAERKAKUTV,59,10,23,26,80,198,3.293,57.325
WAPDZMHAWWW6YRRQ,4,0,2,2,10,18,3.778,69.45
6.44611E+11,3,0,2,9,10,24,3.958,73.95
WAPEEXC3PSCNCPF2,24,0,0,0,10,34,2.176,29.4
WAPEEW75GSZNVCYB,8,2,2,6,14,32,3.5,62.5
1469408,1,0,0,2,7,10,4.4,85.0
WAPDZMHANUEHU7HK,31,2,12,10,20,75,2.813,45.325
WAPEG7YDXHWGXMYX,12,2,6,30,18,68,3.588,64.7
WAPEG7YFM22PKPJG,20,4,13,24,48,109,3.697,67.425
WAPEG7YD7DEDCPR6,38,6,10,28,54,136,3.397,59.925
1153231580,0,1,0,10,3,14,4.071,76.775
WAPE2JF7H9H9WRXY,29,4,6,6,18,63,2.683,42.075
184915,3,2,6,43,39,93,4.215,80.375
B008QE1OIO,186,50,56,127,190,609,3.14,53.5
WAPD4NTZ3ESEHDYZ,185,40,80,99,272,676,3.345,58.625
B0095S9JU0,149,21,45,70,126,411,3.007,50.175
WAPD4NTZENXUHWMU,100,13,28,53,94,288,3.097,52.425
WAPE6CHQGEAAKV2R,17,2,4,7,8,38,2.658,41.45
WAPD4NTZGS3E6DZ8,26,0,0,2,0,28,1.214,5.35
184911,0,2,3,8,9,22,4.091,77.275
WAPE8VT3DHKJ4XFM,22,0,6,12,22,62,3.194,54.85
184916,2,1,5,15,30,53,4.321,83.025
B009D9MQRE,18,10,10,22,32,92,3.435,60.875
WAPD4NTZZWZGHHVF,51,2,8,30,48,139,3.158,53.95
6.78107E+11,2,0,0,1,4,7,3.714,67.85
551809125,1,1,8,19,42,71,4.408,85.2
WAPE2JF7FCZDHE9G,25,2,6,3,8,44,2.25,31.25
WAPEFJWXJGSK39MP,5,2,0,0,7,14,3.143,53.575
1504720336,5,2,5,16,24,52,4.0,75.0
B00E9G8EMW,33,4,7,7,26,77,2.857,46.425
