source_product_id,flipkart,amazon_in,snapdeal,Highest
WAPDZMHA3GEKDFRY,28,0,0,flipkart
631166933,0,0,23,snapdeal
WAPDZMHAM8GUBFZC,80,0,0,flipkart
WAPDZMHAHCSNSHVG,17,0,0,flipkart
6.37E+11,0,0,57,snapdeal
WAPE8X4XRQF8AN6M,192,0,0,flipkart
1337249979,0,0,98,snapdeal
WAPDZMHASQF9TWBM,230,0,0,flipkart
6.75E+11,0,0,16,snapdeal
WAPDZMHA5EJMXJYZ,132,0,0,flipkart
WAPDZMHAB2BHQK7E,46,0,0,flipkart
WAPEEDNTZBW7HHJE,18,0,0,flipkart
WAPDZMHAHFZYAQKH,107,0,0,flipkart
WAPDZMHAERKAKUTV,198,0,0,flipkart
WAPDZMHAWWW6YRRQ,18,0,0,flipkart
6.45E+11,0,0,24,snapdeal
WAPEEXC3PSCNCPF2,34,0,0,flipkart
WAPEEW75GSZNVCYB,32,0,0,flipkart
1469408,0,0,10,snapdeal
WAPDZMHANUEHU7HK,75,0,0,flipkart
WAPEG7YDXHWGXMYX,68,0,0,flipkart
WAPEG7YFM22PKPJG,109,0,0,flipkart
WAPEG7YD7DEDCPR6,136,0,0,flipkart
1153231580,0,0,14,snapdeal
WAPE2JF7H9H9WRXY,63,0,0,flipkart
184915,0,0,93,snapdeal
B008QE1OIO,0,619,0,amazon_in
WAPD4NTZ3ESEHDYZ,676,0,0,flipkart
B0095S9JU0,0,411,0,amazon_in
WAPD4NTZENXUHWMU,288,0,0,flipkart
WAPE6CHQGEAAKV2R,38,0,0,flipkart
WAPD4NTZGS3E6DZ8,28,0,0,flipkart
184911,0,0,22,snapdeal
WAPE8VT3DHKJ4XFM,62,0,0,flipkart
184916,0,0,53,snapdeal
B009D9MQRE,0,92,0,amazon_in
WAPD4NTZZWZGHHVF,139,0,0,flipkart
6.78E+11,0,0,7,snapdeal
551809125,0,0,71,snapdeal
WAPE2JF7FCZDHE9G,44,0,0,flipkart
WAPEFJWXJGSK39MP,14,0,0,flipkart
1504720336,0,0,52,snapdeal
B00E9G8EMW,0,77,0,amazon_in
WAPE37FRYPACQM8C,12,0,0,flipkart
B00E9HJF2Y,0,291,0,amazon_in
