product_id,brand_name,product_name
800004,Eureka Forbes,Aquaguard Booster UV Water Purifier
800005,Eureka Forbes,Aquaguard Classic UV Water Purifier
800007,Eureka Forbes,Aquaguard Compact UV Water Purifier
800008,Eureka Forbes,Aquaguard Crystal Plus UV Water Purifier
800009,Eureka Forbes,Aquaguard Enhance 7L RO+UV+TDS Water Purifier
800010,Eureka Forbes,Aquaguard Enhance RO Water Purifier
800011,Eureka Forbes,Aquaguard Enhance 7L RO Green Water Purifier
800012,Eureka Forbes,Aquaguard Enhance 7L RO+UV+UF+TDS Water Purifier
800013,Eureka Forbes,Aquaguard Enhance 7L UV+UF Water Purifier
800014,Eureka Forbes,Aquaguard Geneus RO+UV+UF Water Purifier
800015,Eureka Forbes,Aquaguard Hi-Flo UV Water Purifier
800017,Eureka Forbes,Aquaguard Magna HD 7L RO+UV Water Purifier
800023,Eureka Forbes,Aquaguard Reviva 50 8L RO Water Purifier
800025,Eureka Forbes,Aquaguard Reviva 8L RO+UV Water Purifier
800026,Eureka Forbes,Aquaguard Reviva 8L RO Water Purifier
800027,Eureka Forbes,Aquaguard Superb RO 6.5L RO Water Purifier
800028,Eureka Forbes,Aquaguard Superb 7L RO+UV+UF Water Purifier
800029,Eureka Forbes,Aquaguard Superb 7L UV+UF Water Purifier
800031,Bajaj,Bajaj Aeques PFS Gravity Based Water Purifier
800032,Bajaj,Bajaj Aeques Storage 23L Gravity Based Water Purifier
800033,Bajaj,Bajaj UV WPX 3 UV Water Purifier
800039,Deowin,Deowin GJQ-589 3L Gravity Based Water Purifier
800040,Eureka Forbes,Eureka Forbes Aquaguard Neo UV Water Purifier
800041,Eureka Forbes,Eureka Forbes Aquaguard Pride UV 16L UV Water Purifier
800042,Eureka Forbes,Eureka Forbes Aquaguard Total DUO 10L RO+UV Water Purifier
800043,Eureka Forbes,Eureka Forbes Aquasure 2L UV Water Purifier
800044,Eureka Forbes,Eureka Forbes Aquasure Aayush 22L Gravity Based Water Purifier
800045,Eureka Forbes,Eureka Forbes Aquasure Amrit 20L Water Purifier
800046,Eureka Forbes,Eureka Forbes Aquasure Aqua Flo DX UV Water Purifier
800047,Eureka Forbes,Eureka Forbes Aquasure Aspire 16L UV Water Purifier
800048,Eureka Forbes,Eureka Forbes Aquasure Elegant RO 6L RO Water Purifier
800049,Eureka Forbes,Eureka Forbes Aquasure Elegant 6L RO+UV Water Purifier
800050,Eureka Forbes,Eureka Forbes Aquasure Ivory Dx Gravity Based Water Purifier
800051,Eureka Forbes,Eureka Forbes Aquasure Nano RO 4L Water Purifier
800052,Eureka Forbes,Eureka Forbes Aquasure 16L Gravity Based Water Purifier
800053,Eureka Forbes,Eureka Forbes Aquasure Prime 4L UV+UF Water Purifier
800054,Eureka Forbes,Eureka Forbes Aquasure Shakti 15L Water Purifier
800055,Eureka Forbes,Eureka Forbes Aquasure Springfresh DX 8L RO Water Purifier
800056,Eureka Forbes,Eureka Forbes Aquasure Storage 18L Gravity Based Water Purifier
800057,Eureka Forbes,Eureka Forbes Aquasure Under Sink RO 14L RO Water Purifier
800058,Eureka Forbes,Eureka Forbes Aquasure Xpert 8L RO+UV+UF Water Purifier
800059,Eureka Forbes,Eureka Forbes Aquasure Xtra Tuff 15L Water Purifier
800061,Eureka Forbes,Eureka Forbes Crystal 1L UV Water Purifier
800062,Eureka Forbes,Eureka Forbes Enhance 7L RO+UV+UF Water Purifier
800063,Eureka Forbes,Eureka Forbes Enhance 7L UV Water Purifier
800064,Eureka Forbes,Eureka ForbesLtd Reviva 8L RO Water Purifier
800065,Eureka Forbes,Eureka Forbes magna hd 7L RO Water Purifier
800066,Eureka Forbes,Eureka Forbes Mobile 2.5L Gravity Based Water Purifier
800067,Eureka Forbes,Eureka Forbes Nectar 6L RO Water Purifier
800068,Eureka Forbes,Eureka Forbes Nirmal 22L Gravity Based Water Purifier
800070,Eureka Forbes,Eureka Forbes Reviva 8L RO Water Purifier
800071,Eureka Forbes,Eureka Forbes Reviva RO+UV+TDS Controller 8L Water Purifier
800072,Eureka Forbes,Eureka Forbes Reviva UV 8L Water Purifier
800073,Eureka Forbes,Eureka Forbes RO+UV+UF+TDS WPS system 7L Water Purifier
800074,Eureka Forbes,Eureka Forbes Smart UV Water Purifier
800075,Godrej,Godrej GP-200 UV Water Purifier
800076,Godrej,Godrej PuraJAL 20L Gravity Based Water Purifier
800077,Godrej,Godrej TruPure 8L RO Water Purifier
800080,HUL Pureit,HUL Pureit Marvella 10L RO Water Purifier
800081,HUL Pureit,HUL Pureit Marvella 8L RO Water Purifier
800082,Kelvinator,Kelvinator Ayoni 9L RO Water Purifier
800083,Kelvinator,Kelvinator ayoni 9L RO Water Purifier
800084,Kelvinator,Kelvinator Quanta 7.5L RO+UF Water Purifier
800085,Kent,Kent Ace Mineral RO TM 7L RO+UV+UF Water Purifier
800086,Kent,Kent Ace+ 7L RO+UF Water Purifier
800087,Kent,Kent Crystal 15L UF Water Purifier
800089,Kent,Kent Excell Plus 7L RO+UV Water Purifier
800090,Kent,Kent Gold 20L UF Water Purifier
800091,Kent,Kent Gold Cool 20L Gravity Based Water Purifier
800092,Kent,Kent Gold Optima 10L Gravity Based Water Purifier
800093,Kent,Kent Gold Plus 20L UF Water Purifier
800094,Kent,Kent Gold Smart 7L UF Water Purifier
800095,Kent,Kent Gold Star 22L UF Water Purifier
800096,Kent,Kent Grand 8L RO+UV Water Purifier
800097,Kent,Kent Grand Plus TDS 8L RO+UV+UF Water Purifier
800098,Kent,Kent In-Line Gold 7L UF Water Purifier
800099,Kent,Kent Maxx 7L UV+UF Water Purifier
800102,Kent,Kent Pearl Mineral RO 8L RO+UV Water Purifier
800103,Kent,Kent Pride 15L RO+UV Water Purifier
800104,Kent,Kent Pride 8L RO+UF Water Purifier
800105,Kent,Kent Pristine 8L RO+UV+UF Water Purifier
800106,Kent,Kent Smart 7L UF Water Purifier
800107,Kent,Kent Super Plus 8L RO+UF Water Purifier
800108,Kent,Kent Super Star 7L RO+UV+UF Water Purifier
800109,Kent,Kent Super Star 8L RO+UV+UF Water Purifier
800110,Kent,Kent Superb 9L RO+UV+UF Water Purifier
800111,Kent,Kent Tap Guard Gravity Based Water Purifier
800113,Kent,Kent Ultra UV Water Purifier
800114,Kent,Kent Wonder 7L RO+UF Water Purifier
800115,Kent,Kent Wonder 7L RO Water Purifier
800116,LG,LG 8L RO+UF Water Purifier (WAW33RW2RP)
800117,LG,LG 8L RO+UF Water Purifier (WAW35RW2RP)
800118,LG,LG 8L RO+UF Water Purifier (WAW53JW2RP)
800119,LG,LG 8L RO+UV+UF Water Purifier (WAW73JR2RP)
800120,LG,LG 8L RO+UV+UF Water Purifier (WAW73JW2RP)
800121,LG,LG Instant Hot & Cold 7.3L RO Water Purifier (WHD71RB4RP)
800122,Livpure,Livpure ECo Touch 2000 8.5L RO+UV Water Purifier
800123,Livpure,Livpure Envy 2000 Plus 8L RO+UV+UF Water Purifier
800124,Livpure,Livpure Envy Neo 8L RO+UV Water Purifier
800127,Livpure,Livpure Envy Plus 8L RO+UV+UF Water Purifier
800128,Livpure,Livpure GILTZ 7L UV Water Purifier
800129,Livpure,Livpure GLO 7L RO+UV Water Purifier
800130,Livpure,Livpure Pep 7L RO Water Purifier
800131,Livpure,Livpure Pep Plus 7L RO+UV Water Purifier
800132,Livpure,Livpure Pep Star 7L RO+UV+UF Water Purifier
800133,Livpure,Livpure Touch 2000 8.5L RO+UV Water Purifier
800134,Livpure,Livpure TOUCH 2000 PLUS 8.5L RO+UV+UF Water Purifier
800135,Panasonic,Panasonic TK-AS80-DA 6L RO+UV Water Purifier
800136,Panasonic,Panasonic TK-CS50-DA UV Water Purifier
800137,Panasonic,Panasonic TK-CS80-DA 6L RO+UV Water Purifier
800138,Panasonic,Panasonic TK-DCP31-D 22L Gravity Based Water Purifier
800139,Panasonic,Panasonic TK-DCP32-D 22L Gravity Based Water Purifier
800140,Panasonic,Panasonic TKCS43-DAJ 6L RO+UV Water Purifier
800141,Panasonic,Panasonic 6L RO+UV Water Purifier
800142,Prestige,Prestige LifeStraw 18L Gravity Based Water Purifier
800143,HUL Pureit,Pureit CLASSIC RO+MF 5L RO+UF Water Purifier
800144,HUL Pureit,Pureit Advanced 23L Water Purifier
800145,HUL Pureit,Pureit Autofill 23L Water Purifier
800146,HUL Pureit,Pureit Classic 14L Gravity Based Water Purifier
800147,HUL Pureit,Pureit Classic 23L Gravity Based Water Purifier
800149,HUL Pureit,Pureit Classic 5L RO+UV Water Purifier
800150,HUL Pureit,Pureit Classic RO+MF 9.12L RO Water Purifier
800152,HUL Pureit,Pureit Classic RO+MF 5L RO Water Purifier
800154,HUL Pureit,Pureit Classic Ro+MF 5L RO+UF Water Purifier
800155,HUL Pureit,Pureit Marvella Cold 2.3L UV Water Purifier
800156,HUL Pureit,Pureit Marvella RO+UV 10L Water Purifier
800157,HUL Pureit,Pureit Marvella Slim RO 4L Water Purifier
800158,HUL Pureit,Pureit Marvella UV 4L Water Purifier
800159,HUL Pureit,Pureit New Classic RO+MF 6L Water Purifier
800160,HUL Pureit,Pureit ultima 10L RO+UV Water Purifier
800167,Tata Swach,Tata Swach Cristella 18L Gravity Based Water Purifier
800168,Tata Swach,Tata Swach Cristella+9L Gravity Based Water Purifier
800169,Tata Swach,Tata SwachLavita 8L Gravity Based Water Purifier
800170,Tata Swach,Tata Swach Nova Silver RO Water Purifier
800171,Tata Swach,Tata Swach Platina Silver 7L RO Water Purifier
800172,Tata Swach,Tata Swach Silver Boost Aqua 27L Gravity Based Water Purifier
800173,Tata Swach,Tata Swach Silver RO - Platina 7L Water Purifier
800174,Tata Swach,Tata Swach Smart 15L Gravity Based Water Purifier
800177,Tata Swach,Tata Swach Smart Saphire 14L Gravity Based Water Purifier
800178,Tata Swach,Tata Swach Ultima Silver RO+UV 7L Water Purifier
800179,Tata Swach,Tata Swach Ultima Silver RO+UV 7L Water Purifier
800180,Tata Swach,Tata Swach Viva Silver UV+UF 6L Water Purifier
800181,Whirlpool,Whirlpool Minerala 90 Platinum 8.5L RO Water Purifier
800182,Whirlpool,Whirlpool Destroyer EAT Filter 6L Gravity Based Water Purifier
800184,Whirlpool,Whirlpool Minerala 90 Platinum 8.5L RO Water Purifier
800185,Whirlpool,Whirlpool Minerala 90 ELITE 8.5L RO Water Purifier
800186,ZERO B,ZERO B Eco RO 6L RO Water Purifier
800187,ZERO B,ZERO B EMERALD 6L RO Water Purifier
800188,ZERO B,ZERO B WAVE 7L RO Water Purifier
800189,A.O.Smith,A.O.Smith Z6+ Hot RO Water Purifier
800190,A.O.Smith,A.O.Smith Z4 RO Water Purifier
800191,A.O.Smith,A.O.Smith Z7+ Hot RO Water Purifier
800192,A.O.Smith,A.O.Smith X7 RO Water Purifier
800193,A.O.Smith,A.O.Smith X4 RO Water Purifier
800194,A.O.Smith,A.O.Smith X5 RO Water Purifier
800195,A.O.Smith,A.O.Smith X6 RO+UV Water Purifier
800196,A.O.Smith,A.O.Smith Z2 RO Water Purifier
800197,Kent,Kent Supreme RO+UV+UF with TDS controller Water Purifier
800198,HUL Pureit,Pureit Advanced (RO + MF) 5 L Water Purifier (White)
800199,Blue star,Blue star Stella (RO + UV + Hot + Cold) Water Purifier
800200,Blue star,Blue star Prisma (RO + UV) Water Purifier
800201,Blue star,Blue star Edge (RO + UV) Water Purifier
800202,Blue star,Blue star Majesto (RO + UV) Water Purifier
800203,Livpure,Livpure Pep Pro++ 7 L (RO + UV +UF) Water Purifier
800204,LG,LG WW180EP 8 L RO + UV +UF Water Purifier
800205,Moonbow,Moonbow Achelous 9 L RO + UV +UF Water Purifier
800206,Moonbow,Moonbow Achelous Premium 7 L RO + UV Water Purifier
800207,Moonbow,Moonbow Alpheus with mineralizer 7 L RO Water Purifier
800208,Moonbow,Moonbow Ezili 7 L RO + UV Water Purifier
800209,A.O.Smith,A.O.Smith Z6 10 L RO Water Purifier
800210,Aqua Grand,Aqua Grand Plus Epic 12 L RO + UV + UF + TDS Water Purifier
800211,Eureka Forbes,Aquaguard Green RO 7 L RO Water Purifier
800212,Livpure,Livpure Magna with pre filter 11 L RO + UV +UF Water Purifier
800213,Livpure,Livpure Pep Pro 7 L RO + UF Water Purifier
800214,Eureka Forbes,Eureka Forbes 3GRO1 8 L RO + UV Water Purifier
800215,Eureka Forbes,Eureka Forbes Compact 1 L UV Water Purifier
800216,Eureka Forbes,Eureka Forbes Enhance 7 L RO + UV + UF + TDS Water Purifier
800217,Protek,Protek Advanced 12 L RO + UV +UF Water Purifier
800218,Protek,Protek Elite Plus with LED Indicators 12 L RO + UV + UF + TDS Water Purifier
800219,HUL Pureit,Pureit Classic Mineral 6 L RO + UV Water Purifier
800220,Whirlpool,Whirlpool Minerala 90 Classic 8.5 L RO + MF Water Purifier
800221,Whirlpool,Whirlpool Minerala Ultra 10 L RO + UV +UF Water Purifier
800222,Whirlpool,Whirlpool Puratron 8 L EAT Water Purifier
800223,Whirlpool,Whirlpool Minerala Platinum Plus 10 L RO + UF Water Purifier
800224,Carrier Midea,Carrier Midea 8 L RO + UV Water Purifier (MWPRU080AL7)
800225,Carrier Midea,Carrier Midea 8 L RO + UV Water Purifier (MWPRU080CL7)
800226,Carrier Midea,Carrier Midea 8 L RO + UV Water Purifier (MWPRU080SL7)
800227,Nasaka,Nasaka Lotus S1 13 L RO + UV +UF Water Purifier
800228,Nasaka,Nasaka Lotus N1 13 L RO + UV +UF Water Purifier
800229,Nasaka,Nasaka Cosmos S1 11 L RO + UV Water Purifier
800230,Nasaka,Nasaka Cosmos N1 11 L RO + UV Water Purifier
800231,Nasaka,Nasaka Tulip N2 8 L RO + UF Water Purifier (White)
800232,Nasaka,Nasaka Tulip N1 8 L RO + UF Water Purifier (White)
800233,Nasaka,"Nasaka Tulip A1 8 L RO Water Purifier (Black, White)"
