Brand_name,Trend_Total_Reviews,Month,Year
revlon,18,1,2017
revlon,17,2,2017
revlon,13,3,2017
revlon,10,4,2017
revlon,11,5,2017
revlon,8,6,2017
revlon,6,7,2017
revlon,9,8,2017
revlon,9,9,2017
revlon,8,10,2017
revlon,3,11,2017
revlon,8,12,2017
lotus,32,1,2017
lotus,26,2,2017
lotus,41,3,2017
lotus,22,4,2017
lotus,31,5,2017
lotus,37,6,2017
lotus,38,7,2017
lotus,39,8,2017
lotus,50,9,2017
lotus,107,10,2017
lotus,92,11,2017
lotus,135,12,2017
colorbar,106,1,2017
colorbar,103,2,2017
colorbar,74,3,2017
colorbar,71,4,2017
colorbar,94,5,2017
colorbar,81,6,2017
colorbar,92,7,2017
colorbar,95,8,2017
colorbar,131,9,2017
colorbar,110,10,2017
colorbar,111,11,2017
colorbar,110,12,2017
maybelline,899,1,2017
maybelline,845,2,2017
maybelline,920,3,2017
maybelline,776,4,2017
maybelline,1151,5,2017
maybelline,1065,6,2017
maybelline,948,7,2017
maybelline,811,8,2017
maybelline,1075,9,2017
maybelline,1255,10,2017
maybelline,1017,11,2017
maybelline,1299,12,2017
loreal,286,1,2017
loreal,395,2,2017
loreal,278,3,2017
loreal,183,4,2017
loreal,380,5,2017
loreal,247,6,2017
loreal,221,7,2017
loreal,198,8,2017
loreal,290,9,2017
loreal,192,10,2017
loreal,149,11,2017
loreal,180,12,2017
coloressence,29,1,2017
coloressence,22,2,2017
coloressence,22,3,2017
coloressence,17,4,2017
coloressence,19,5,2017
coloressence,29,6,2017
coloressence,12,7,2017
coloressence,9,8,2017
coloressence,20,9,2017
coloressence,12,10,2017
coloressence,13,11,2017
coloressence,24,12,2017
lakme,634,1,2017
lakme,610,2,2017
lakme,478,3,2017
lakme,433,4,2017
lakme,626,5,2017
lakme,609,6,2017
lakme,591,7,2017
lakme,531,8,2017
lakme,953,9,2017
lakme,997,10,2017
lakme,705,11,2017
lakme,713,12,2017
e,1,3,2017
e,1,5,2017
