Brand_name,TotalPositive__Reviews,Month,Year,positive
revlon,57,1,2017,80.7017543859649
revlon,51,2,2017,82.35294117647058
revlon,48,3,2017,81.25
revlon,30,4,2017,90.0
revlon,17,5,2017,76.47058823529412
revlon,24,6,2017,87.5
revlon,17,7,2017,88.23529411764706
revlon,22,8,2017,95.45454545454545
revlon,8,9,2017,62.5
revlon,20,10,2017,70.0
revlon,7,11,2017,71.42857142857143
revlon,32,12,2017,59.375
colorbar,371,1,2017,78.16711590296495
colorbar,350,2,2017,84.0
colorbar,253,3,2017,69.56521739130434
colorbar,252,4,2017,65.87301587301587
colorbar,437,5,2017,85.35469107551488
colorbar,339,6,2017,78.46607669616519
colorbar,427,7,2017,78.4543325526932
colorbar,402,8,2017,77.61194029850746
colorbar,513,9,2017,83.4307992202729
colorbar,450,10,2017,87.33333333333333
colorbar,405,11,2017,84.44444444444444
colorbar,431,12,2017,82.5986078886311
maybelline,2572,1,2017,79.89891135303266
maybelline,2483,2,2017,79.90334273056786
maybelline,2560,3,2017,78.3203125
maybelline,2311,4,2017,79.6192124621376
maybelline,3117,5,2017,80.52614693615656
maybelline,3149,6,2017,79.29501429025088
maybelline,2807,7,2017,81.01175632347703
maybelline,2518,8,2017,81.1755361397935
maybelline,2864,9,2017,74.09217877094973
maybelline,3604,10,2017,71.83684794672585
maybelline,2977,11,2017,80.6852536110178
maybelline,3384,12,2017,81.64893617021278
loreal,831,1,2017,78.21901323706378
loreal,1317,2,2017,62.414578587699324
loreal,717,3,2017,71.54811715481172
loreal,373,4,2017,57.37265415549599
loreal,1063,5,2017,71.21354656632172
loreal,726,6,2017,53.58126721763086
loreal,833,7,2017,66.14645858343337
loreal,771,8,2017,75.74578469520104
loreal,901,9,2017,73.0299667036626
loreal,523,10,2017,73.80497131931166
loreal,536,11,2017,78.9179104477612
loreal,531,12,2017,81.73258003766477
coloressence,84,1,2017,80.95238095238095
coloressence,67,2,2017,65.67164179104478
coloressence,75,3,2017,76.0
coloressence,62,4,2017,82.25806451612904
coloressence,97,5,2017,57.73195876288659
coloressence,90,6,2017,77.77777777777779
coloressence,32,7,2017,68.75
coloressence,29,8,2017,55.172413793103445
coloressence,69,9,2017,76.81159420289855
coloressence,15,10,2017,80.0
coloressence,30,11,2017,86.66666666666667
coloressence,75,12,2017,78.66666666666666
lakme,1841,1,2017,75.55676262900597
lakme,1730,2,2017,74.16184971098266
lakme,1377,3,2017,72.18591140159768
lakme,1152,4,2017,76.90972222222221
lakme,1610,5,2017,75.15527950310559
lakme,1664,6,2017,81.49038461538461
lakme,1745,7,2017,77.82234957020057
lakme,1529,8,2017,76.12818835840417
lakme,1872,9,2017,77.56410256410257
lakme,2250,10,2017,78.88888888888889
lakme,1805,11,2017,81.93905817174515
lakme,1692,12,2017,82.26950354609929
cameleon,10,1,2017,50.0
cameleon,4,2,2017,50.0
cameleon,2,3,2017,100.0
cameleon,5,4,2017,100.0
cameleon,7,6,2017,100.0
cameleon,4,7,2017,75.0
cameleon,1,8,2017,100.0
cameleon,1,9,2017,100.0
cameleon,1,10,2017,100.0
cameleon,2,11,2017,100.0
cameleon,13,12,2017,100.0
chambor,15,1,2017,86.66666666666667
chambor,22,2,2017,100.0
chambor,13,3,2017,76.92307692307693
chambor,9,4,2017,44.44444444444444
chambor,13,5,2017,100.0
chambor,15,6,2017,100.0
chambor,9,8,2017,88.88888888888889
chambor,7,9,2017,100.0
chambor,13,10,2017,84.61538461538461
chambor,9,11,2017,88.88888888888889
chambor,8,12,2017,87.5
teen,10,1,2017,40.0
teen,7,2,2017,28.57142857142857
teen,4,3,2017,0.0
teen,12,4,2017,66.66666666666666
teen,7,5,2017,28.57142857142857
teen,2,7,2017,0.0
teen,1,9,2017,100.0
teen,1,11,2017,100.0
glam,2,1,2017,0.0
glam,3,2,2017,100.0
glam,2,4,2017,0.0
glam,6,5,2017,50.0
glam,10,6,2017,70.0
glam,3,7,2017,66.66666666666666
glam,1,8,2017,0.0
glam,2,9,2017,50.0
glam,2,10,2017,50.0
kveda,2,1,2017,100.0
kveda,5,2,2017,60.0
kveda,3,3,2017,33.33333333333333
kveda,4,5,2017,100.0
