,Brand_name,Trend_Total_Reviews,Month,Year,%positive
0,revlon,147,1,2017,84.35374149659864
1,revlon,87,2,2017,89.65517241379311
2,revlon,72,3,2017,87.5
3,revlon,78,4,2017,96.15384615384616
4,revlon,17,5,2017,76.47058823529412
5,revlon,54,6,2017,94.44444444444444
6,revlon,29,7,2017,93.10344827586206
7,revlon,70,8,2017,98.57142857142858
8,revlon,8,9,2017,62.5
9,revlon,38,10,2017,84.21052631578947
10,revlon,7,11,2017,71.42857142857143
11,revlon,92,12,2017,59.78260869565217
12,colorbar,1182,1,2017,40.27072758037225
13,colorbar,1564,2,2017,93.28644501278772
14,colorbar,1147,3,2017,19.52920662598082
15,colorbar,1548,4,2017,31.653746770025844
16,colorbar,1733,5,2017,59.953837276399305
17,colorbar,759,6,2017,79.31488801054019
18,colorbar,1213,7,2017,37.015663643858204
19,colorbar,1111,8,2017,51.93519351935193
20,colorbar,1107,9,2017,79.31345980126467
21,colorbar,1332,10,2017,93.91891891891892
22,colorbar,1307,11,2017,67.48278500382555
23,colorbar,1057,12,2017,55.25070955534531
24,maybelline,3598,1,2017,70.28904947192885
25,maybelline,4180,2,2017,74.61722488038276
26,maybelline,3333,3,2017,74.1974197419742
27,maybelline,2970,4,2017,77.64309764309765
28,maybelline,4876,5,2017,81.99343724364233
29,maybelline,4409,6,2017,76.07167158085734
30,maybelline,3428,7,2017,78.73395565927655
31,maybelline,2919,8,2017,75.95066803699896
32,maybelline,4350,9,2017,64.29885057471265
33,maybelline,4765,10,2017,68.37355718782791
34,maybelline,3489,11,2017,77.67268558326168
35,maybelline,4010,12,2017,79.87531172069825
36,loreal,16081,1,2017,91.27541819538585
37,loreal,29432,2,2017,63.509105735254145
38,loreal,9098,3,2017,90.67927016926797
39,loreal,6262,4,2017,56.882785052698814
40,loreal,12533,5,2017,76.15894039735099
41,loreal,7384,6,2017,65.3169014084507
42,loreal,10073,7,2017,51.871339223667235
43,loreal,18280,8,2017,81.2144420131291
44,loreal,9878,9,2017,83.25571978133225
45,loreal,6144,10,2017,88.94856770833334
46,loreal,8362,11,2017,93.14757235111217
47,loreal,5481,12,2017,87.75770844736363
48,coloressence,84,1,2017,80.95238095238095
49,coloressence,67,2,2017,65.67164179104478
50,coloressence,77,3,2017,75.32467532467533
51,coloressence,62,4,2017,82.25806451612904
52,coloressence,229,5,2017,40.174672489082965
53,coloressence,97,6,2017,79.38144329896907
54,coloressence,32,7,2017,68.75
55,coloressence,29,8,2017,55.172413793103445
56,coloressence,69,9,2017,76.81159420289855
57,coloressence,15,10,2017,80.0
58,coloressence,30,11,2017,86.66666666666667
59,coloressence,75,12,2017,78.66666666666666
60,lakme,6206,1,2017,69.62616822429906
61,lakme,6843,2,2017,77.26143504310976
62,lakme,5390,3,2017,62.50463821892394
63,lakme,3561,4,2017,77.98371244032575
64,lakme,7692,5,2017,65.23660946437857
65,lakme,5313,6,2017,77.75268210050818
66,lakme,6234,7,2017,53.160089829964704
67,lakme,3472,8,2017,75.46082949308756
68,lakme,10303,9,2017,82.20906532078035
69,lakme,11590,10,2017,77.46333045729077
70,lakme,6735,11,2017,85.85003711952487
71,lakme,4099,12,2017,86.97243230056111
72,cameleon,10,1,2017,50.0
73,cameleon,4,2,2017,50.0
74,cameleon,2,3,2017,100.0
75,cameleon,5,4,2017,100.0
76,cameleon,7,6,2017,100.0
77,cameleon,4,7,2017,75.0
78,cameleon,1,8,2017,100.0
79,cameleon,1,9,2017,100.0
80,cameleon,1,10,2017,100.0
81,cameleon,2,11,2017,100.0
82,cameleon,13,12,2017,100.0
83,chambor,15,1,2017,86.66666666666667
84,chambor,22,2,2017,100.0
85,chambor,13,3,2017,76.92307692307693
86,chambor,9,4,2017,44.44444444444444
87,chambor,13,5,2017,100.0
88,chambor,15,6,2017,100.0
89,chambor,9,8,2017,88.88888888888889
90,chambor,7,9,2017,100.0
91,chambor,13,10,2017,84.61538461538461
92,chambor,9,11,2017,88.88888888888889
93,chambor,8,12,2017,87.5
94,teen,10,1,2017,40.0
95,teen,7,2,2017,28.57142857142857
96,teen,4,3,2017,0.0
97,teen,12,4,2017,66.66666666666666
98,teen,7,5,2017,28.57142857142857
99,teen,2,7,2017,0.0
100,teen,1,9,2017,100.0
101,teen,1,11,2017,100.0
102,glam,2,1,2017,0.0
103,glam,3,2,2017,100.0
104,glam,2,4,2017,0.0
105,glam,6,5,2017,50.0
106,glam,10,6,2017,70.0
107,glam,3,7,2017,66.66666666666666
108,glam,1,8,2017,0.0
109,glam,2,9,2017,50.0
110,glam,2,10,2017,50.0
111,k,2,1,2017,100.0
112,k,5,2,2017,60.0
113,k,3,3,2017,33.33333333333333
114,k,4,5,2017,100.0
115,k,5,6,2017,100.0
116,k,4,9,2017,100.0
117,k,1,12,2017,100.0
118,mn,16,1,2017,81.25
119,mn,18,2,2017,66.66666666666666
120,mn,9,3,2017,55.55555555555556
121,mn,1,4,2017,0.0
122,mn,14,5,2017,71.42857142857143
123,mn,20,6,2017,10.0
124,mn,11,7,2017,81.81818181818183
125,mn,8,8,2017,37.5
126,mn,4,9,2017,25.0
127,mn,12,10,2017,100.0
128,mn,7,11,2017,14.285714285714285
129,mn,25,12,2017,84.0
130,diana,40,1,2017,70.0
131,diana,45,2,2017,77.77777777777779
132,diana,42,3,2017,52.38095238095239
133,diana,35,4,2017,80.0
134,diana,39,5,2017,79.48717948717949
135,diana,22,6,2017,63.63636363636363
136,diana,21,7,2017,61.904761904761905
137,diana,23,8,2017,52.17391304347826
138,diana,22,9,2017,59.09090909090909
139,diana,4,10,2017,50.0
140,diana,12,11,2017,50.0
141,diana,16,12,2017,68.75
142,lotus,66,1,2017,83.33333333333334
143,lotus,72,2,2017,65.27777777777779
144,lotus,150,3,2017,71.33333333333334
145,lotus,73,4,2017,49.31506849315068
146,lotus,78,5,2017,67.94871794871796
147,lotus,105,6,2017,75.23809523809524
148,lotus,87,7,2017,62.06896551724138
