Brand_name,Trend_Total_Reviews_positive,Total_review_fragments,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
revlon,1075,1352,171,0.15906976744186047,15,0.013953488372093023,889,0.8269767441860465
colorbar,26453,40064,18538,0.7007900805201679,703,0.026575435678372963,7212,0.2726344838014592
maybelline,65009,86327,19678,0.3026965497085019,11024,0.16957652017412975,34307,0.5277269301173684
loreal,218788,287703,4071,0.018607053403294514,3527,0.016120628188017624,211190,0.9652723184086879
coloressence,1738,2495,434,0.24971231300345226,140,0.0805523590333717,1164,0.669735327963176
lakme,107879,161236,58114,0.5386961317772689,7538,0.06987458170728315,42227,0.39142928651544784
cameleon,152,193,84,0.5526315789473685,68,0.4473684210526316,0,0.0
chambor,210,243,19,0.09047619047619047,32,0.1523809523809524,159,0.7571428571428571
teen,128,200,128,1.0,0,0.0,0,0.0
glam,123,174,76,0.6178861788617886,47,0.3821138211382114,0,0.0
k,75,110,53,0.7066666666666667,22,0.29333333333333333,0,0.0
mn,175,283,75,0.42857142857142855,100,0.5714285714285714,0,0.0
diana,497,714,153,0.30784708249496984,344,0.6921529175050302,0,0.0
lotus,2164,3043,283,0.13077634011090572,610,0.28188539741219965,1271,0.5873382624768947
hilary,184160,248227,160,0.0008688097306689834,184000,0.9991311902693311,0,0.0
rimmel,1786,2218,19,0.010638297872340425,0,0.0,1767,0.9893617021276596
7_heaven,243,371,226,0.9300411522633745,17,0.06995884773662552,0,0.0
music,31627,35187,1160,0.03667752237012679,30467,0.9633224776298732,0,0.0
faces,6555,7981,147,0.022425629290617848,768,0.11716247139588101,5640,0.8604118993135011
kudos,12,21,12,1.0,0,0.0,0,0.0
me,104,155,104,1.0,0,0.0,0,0.0
hr,201,277,201,1.0,0,0.0,0,0.0
mars,111,193,59,0.5315315315315315,52,0.46846846846846846,0,0.0
meilin,36,74,19,0.5277777777777778,17,0.4722222222222222,0,0.0
incolor,2203,2792,217,0.0985020426690876,1986,0.9014979573309124,0,0.0
hope,6,8,6,1.0,0,0.0,0,0.0
avon,361,500,57,0.15789473684210525,61,0.16897506925207756,243,0.6731301939058172
essence,1109,1449,13,0.011722272317403066,62,0.05590622182146077,1034,0.9323715058611362
c,185,302,56,0.3027027027027027,129,0.6972972972972973,0,0.0
oriflame,230,393,201,0.8739130434782608,29,0.12608695652173912,0,0.0
castillo,22,39,22,1.0,0,0.0,0,0.0
ads,405,794,151,0.3728395061728395,254,0.6271604938271605,0,0.0
blue,2968,3721,347,0.11691374663072776,338,0.11388140161725067,2283,0.7692048517520216
insight,186,242,54,0.2903225806451613,132,0.7096774193548387,0,0.0
maybeline,157,279,157,1.0,0,0.0,0,0.0
v,5,5,5,1.0,0,0.0,0,0.0
glam21,109,163,109,1.0,0,0.0,0,0.0
forteens,25,39,25,1.0,0,0.0,0,0.0
max,5,9,1,0.2,4,0.8,0,0.0
deborah,292,374,9,0.030821917808219176,64,0.2191780821917808,219,0.75
star,5,12,5,1.0,0,0.0,0,0.0
sivanna,34,48,34,1.0,0,0.0,0,0.0
br,24,57,22,0.9166666666666666,2,0.08333333333333333,0,0.0
makeup,5108,6111,364,0.07126076742364917,11,0.002153484729835552,4733,0.9265857478465153
