Brand_name,Total_Number_of_Reviews,Month,Year
revlon,46,1,2017
revlon,26,2,2017
revlon,36,3,2017
revlon,38,4,2017
revlon,58,5,2017
revlon,54,6,2017
revlon,28,7,2017
revlon,20,8,2017
revlon,77,9,2017
revlon,53,10,2017
revlon,48,11,2017
revlon,24,12,2017
loreal,128,1,2017
loreal,171,2,2017
loreal,195,3,2017
loreal,156,4,2017
loreal,494,5,2017
loreal,251,6,2017
loreal,236,7,2017
loreal,164,8,2017
loreal,666,9,2017
loreal,591,10,2017
loreal,379,11,2017
loreal,700,12,2017
streax,16,1,2017
streax,16,2,2017
streax,9,3,2017
streax,16,4,2017
streax,9,5,2017
streax,15,6,2017
streax,12,7,2017
streax,12,8,2017
streax,13,9,2017
streax,26,10,2017
streax,30,11,2017
streax,21,12,2017
bblunt,49,1,2017
bblunt,56,2,2017
bblunt,51,3,2017
bblunt,32,4,2017
bblunt,58,5,2017
bblunt,81,6,2017
bblunt,73,7,2017
bblunt,45,8,2017
bblunt,68,9,2017
bblunt,71,10,2017
bblunt,66,11,2017
bblunt,109,12,2017
godrej,1,1,2017
godrej,3,2,2017
godrej,1,3,2017
godrej,1,4,2017
godrej,6,5,2017
godrej,11,6,2017
godrej,3,7,2017
godrej,5,8,2017
godrej,6,9,2017
godrej,9,10,2017
godrej,3,11,2017
godrej,7,12,2017
garnier,19,3,2017
garnier,13,5,2017
garnier,21,6,2017
garnier,13,7,2017
garnier,22,8,2017
garnier,1,9,2017
garnier,31,10,2017
garnier,37,11,2017
garnier,14,12,2017
schwarzkopf,3,1,2017
schwarzkopf,1,2,2017
schwarzkopf,1,3,2017
schwarzkopf,1,5,2017
schwarzkopf,4,6,2017
schwarzkopf,1,7,2017
crazy,2,1,2017
crazy,1,2,2017
crazy,1,3,2017
crazy,3,5,2017
crazy,3,6,2017
crazy,2,7,2017
crazy,1,9,2017
crazy,3,10,2017
crazy,1,11,2017
crazy,3,12,2017
dexe,1,7,2017
dexe,2,12,2017
vlcc,3,1,2017
vlcc,4,2,2017
vlcc,2,3,2017
vlcc,2,6,2017
vlcc,4,7,2017
vlcc,2,8,2017
vlcc,3,9,2017
vlcc,5,10,2017
vlcc,3,11,2017
vlcc,3,12,2017
kama,1,2,2017
kama,2,3,2017
kama,2,6,2017
kama,4,7,2017
kama,2,8,2017
kama,5,9,2017
kama,1,10,2017
kama,2,11,2017
kama,2,12,2017
hair,1,11,2017
khadi,1,7,2017
khadi,3,8,2017
khadi,2,10,2017
richfeel,1,2,2017
richfeel,1,4,2017
richfeel,1,6,2017
richfeel,2,8,2017
richfeel,3,10,2017
richfeel,1,12,2017
hair4real,1,7,2017
hair4real,1,8,2017
hair4real,1,12,2017
dove,3,1,2017
dove,4,3,2017
dove,1,6,2017
dove,1,7,2017
dove,5,8,2017
dove,4,10,2017
dove,1,11,2017
dove,2,12,2017
krishkare,1,11,2017
krishkare,1,12,2017
biotique,2,3,2017
biotique,2,5,2017
biotique,3,6,2017
biotique,3,7,2017
biotique,3,10,2017
surya,2,6,2017
surya,1,8,2017
gratia,1,11,2017
