Brand_name,Trend_Total_Reviews_positive,Total_review_fragments,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
revlon,8217,12230,7384,0.8986248022392601,715,0.08701472556894244,118,0.014360472191797494
loreal,55049,75948,50324,0.9141673781540083,2075,0.03769369107522389,2650,0.04813893077076786
streax,463,622,107,0.23110151187904968,266,0.5745140388768899,90,0.19438444924406048
bblunt,3491,4674,450,0.1289028931538241,817,0.23403036379260958,2224,0.6370667430535664
garnier,885,1005,0,0.0,0,0.0,885,1.0
crazy,100,114,0,0.0,0,0.0,100,1.0
vlcc,172,182,0,0.0,0,0.0,172,1.0
kama,132,153,0,0.0,0,0.0,132,1.0
khadi,29,31,0,0.0,0,0.0,29,1.0
schwarzkopf,106,128,0,0.0,0,0.0,106,1.0
godrej,387,447,4,0.0103359173126615,0,0.0,383,0.9896640826873385
richfeel,49,55,0,0.0,0,0.0,49,1.0
hair4real,30,37,0,0.0,0,0.0,30,1.0
dove,128,148,0,0.0,0,0.0,128,1.0
krishkare,6,6,0,0.0,0,0.0,6,1.0
biotique,86,109,0,0.0,0,0.0,86,1.0
bigen,17,19,0,0.0,0,0.0,17,1.0
colorica,12,12,0,0.0,0,0.0,12,1.0
dexe,14,14,0,0.0,0,0.0,14,1.0
hair,10,10,0,0.0,0,0.0,10,1.0
organix,11,13,0,0.0,0,0.0,11,1.0
surya,10,13,0,0.0,0,0.0,10,1.0
gratia,3,3,0,0.0,0,0.0,3,1.0
