Brand_name,Total_positive_fragments,Total_review_fragments,Total_positive percentage,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
revlon,1981,2800,0.7075,1148,57.95053003533569,715,36.09288238263503,118,5.956587582029278
l'oreal,7595,10853,0.6998065051137934,5618,73.96971691902567,1977,26.030283080974325,0,0.0
streax,457,610,0.7491803278688525,101,22.100656455142232,266,58.20568927789934,90,19.693654266958426
bblunt,3191,4170,0.7652278177458034,150,4.700720777185835,817,25.60325916640552,2224,69.69602005640864
loreal,2748,3117,0.8816169393647738,0,0.0,98,3.566229985443959,2650,96.43377001455605
garnier,885,1005,0.8805970149253731,0,0.0,0,0.0,885,100.0
crazy,100,114,0.8771929824561403,0,0.0,0,0.0,100,100.0
vlcc,172,182,0.945054945054945,0,0.0,0,0.0,172,100.0
kama,132,153,0.8627450980392157,0,0.0,0,0.0,132,100.0
khadi,29,31,0.9354838709677419,0,0.0,0,0.0,29,100.0
schwarzkopf,106,128,0.828125,0,0.0,0,0.0,106,100.0
godrej,387,447,0.8657718120805369,4,1.03359173126615,0,0.0,383,98.96640826873386
richfeel,49,55,0.8909090909090909,0,0.0,0,0.0,49,100.0
hair4real,30,37,0.8108108108108109,0,0.0,0,0.0,30,100.0
dove,128,148,0.8648648648648649,0,0.0,0,0.0,128,100.0
krishkare,6,6,1.0,0,0.0,0,0.0,6,100.0
biotique,86,109,0.7889908256880734,0,0.0,0,0.0,86,100.0
bigen,17,19,0.8947368421052632,0,0.0,0,0.0,17,100.0
colorica,12,12,1.0,0,0.0,0,0.0,12,100.0
dexe,14,14,1.0,0,0.0,0,0.0,14,100.0
hair,10,10,1.0,0,0.0,0,0.0,10,100.0
organix,11,13,0.8461538461538461,0,0.0,0,0.0,11,100.0
surya,10,13,0.7692307692307693,0,0.0,0,0.0,10,100.0
gratia,3,3,1.0,0,0.0,0,0.0,3,100.0
