source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
HRCD9YWP3DZDDWRH,1,10,0,5,11,12,38,3.395,59.875
HRCD9YWPGDMUJVYG,1,3,0,0,4,12,19,4.158,78.95
HRCD9YWPH34SW7ZZ,1,1,0,0,2,0,3,3.0,50.0
HRCD9ZYB2VATGXDX,1,16,7,8,17,36,84,3.595,64.875
HRCDA3Z9G35ESHPJ,1,2,0,0,5,4,11,3.818,70.45
HRCDAJ3C6QGZSNZX,1,25,1,7,9,34,76,3.342,58.55
HRCDFRUJSNHZFZFA,1,16,4,9,12,31,72,3.528,63.2
HRCDFSFGNTHYQ8ER,1,0,0,0,4,17,21,4.81,95.25
HRCDKWFXJZBFFRYY,1,4,2,1,0,2,9,2.333,33.325
HRCDY8ZGUKDYFWA9,1,2,1,0,1,1,5,2.6,40.0
HRCE2GT25MCEZGX2,1,7,2,3,7,11,30,3.433,60.825
HRCE2QUC78N95BEG,1,2,0,1,1,3,7,3.429,60.725
HRCE6EHXHQXJZY9B,1,1,1,0,3,10,15,4.333,83.325
HRCE8355FMKNYS3F,1,1,0,0,0,3,4,4.0,75.0
HRCE8FRGSUFC8HZV,1,0,0,0,1,0,1,4.0,75.0
HRCE8QNHBVZUXWPH,1,2,0,0,2,4,8,3.75,68.75
HRCE9ZNJ7Q9YKFSY,1,3,1,0,0,1,5,2.0,25.0
HRCEB74K4P3YJWQG,1,1,0,0,2,3,6,4.0,75.0
HRCEBHFJAZSFFFWK,1,0,0,0,1,0,1,4.0,75.0
HRCEBSH2P5D69WH9,1,1,0,0,0,1,2,3.0,50.0
HRCEBSH2UHGWVGAW,1,3,0,0,0,3,6,3.0,50.0
HRCEE82KVE2P7NFZ,1,1,0,0,0,5,6,4.333,83.325
HRCEGTGAQ9AFSFTH,1,0,1,0,1,3,5,4.2,80.0
HRCEHAGH4EWF45BV,1,2,0,0,1,3,6,3.5,62.5
HRCEHB83HUYEESQR,1,3,0,0,3,5,11,3.636,65.9
HRCEHD2HYJ5NMGUP,1,0,0,0,0,1,1,5.0,100.0
HRCEHJZZG7HCRHVH,1,1,0,0,0,0,1,1.0,0.0
HRCEHRXRXPYSJVZM,1,2,0,0,0,0,2,1.0,0.0
HRCENAUSGYYKV2EV,1,0,0,0,1,1,2,4.5,87.5
HRCEPPNTCBGTSYFN,1,1,0,0,0,0,1,1.0,0.0
HRCEPPPWWDY4J2TR,1,1,0,0,2,5,8,4.25,81.25
HRCEUGHCZ2HHPBBK,1,1,0,1,0,0,2,2.0,25.0
HRCEVPZKUQMWTGJ5,1,6,2,0,2,3,13,2.538,38.45
HRCEWEPCEY9XCRGG,1,1,0,0,0,2,3,3.667,66.675
HRCEZGPZGFRUEPGY,1,1,0,0,7,22,30,4.633,90.825
HRCEZV8ABGTE6HTX,1,14,1,4,6,15,40,3.175,54.375
B006QHB8HA,1,44,9,10,32,80,175,3.543,63.575
B006QHB9GK,1,88,23,45,119,242,517,3.781,69.525
B00AE25B76,1,3,5,3,7,17,35,3.857,71.425
B00DQO8ES2,1,34,4,6,11,22,77,2.779,44.475
B00DQO9C2Y,1,3,1,5,8,26,43,4.233,80.825
B00DQO9LC0,1,7,4,4,27,48,90,4.167,79.175
B00O2Y1YFK,1,8,5,12,10,7,42,3.071,51.775
B00O2Y23CS,1,1,2,2,0,0,5,2.2,30.0
B00RV34G8Q,1,3,0,2,9,18,32,4.219,80.475
B00RV34JB0,1,11,4,6,10,27,58,3.655,66.375
B00TTNUTPK,1,11,6,5,9,25,56,3.554,63.85
B00TVAF3FC,1,8,1,3,6,18,36,3.694,67.35
B016RZ3TCC,1,2,1,1,1,2,7,3.0,50.0
B017RBFW3E,1,8,2,8,12,20,50,3.68,67.0
B019W17T0Q,1,33,7,8,8,19,75,2.64,41.0
