Brand_name,Total_Number_of_Reviews,Month,Year
dove,78,1,2017
dove,74,2,2017
dove,100,3,2017
dove,68,4,2017
dove,130,5,2017
dove,100,6,2017
dove,110,7,2017
dove,127,8,2017
dove,230,9,2017
dove,202,10,2017
dove,114,11,2017
dove,144,12,2017
loreal,125,1,2017
loreal,114,2,2017
loreal,122,3,2017
loreal,119,4,2017
loreal,167,5,2017
loreal,109,6,2017
loreal,99,7,2017
loreal,174,8,2017
loreal,262,9,2017
loreal,241,10,2017
loreal,210,11,2017
loreal,164,12,2017
pantene,44,1,2017
pantene,34,2,2017
pantene,42,3,2017
pantene,31,4,2017
pantene,47,5,2017
pantene,36,6,2017
pantene,39,7,2017
pantene,46,8,2017
pantene,90,9,2017
pantene,60,10,2017
pantene,25,11,2017
pantene,37,12,2017
