Brand_name,TotalPositive__Reviews,Month,Year,positive
dove,124,1,2017,81.45161290322581
dove,110,2,2017,84.54545454545455
dove,179,3,2017,77.6536312849162
dove,141,4,2017,77.30496453900709
dove,253,5,2017,71.14624505928853
dove,120,6,2017,64.16666666666667
dove,170,7,2017,70.58823529411765
dove,213,8,2017,80.75117370892019
dove,309,9,2017,78.31715210355988
dove,283,10,2017,70.6713780918728
dove,188,11,2017,73.93617021276596
dove,225,12,2017,76.88888888888889
loreal,208,1,2017,64.42307692307693
loreal,174,2,2017,60.91954022988506
loreal,230,3,2017,55.21739130434783
loreal,214,4,2017,58.87850467289719
loreal,339,5,2017,70.50147492625368
loreal,215,6,2017,60.0
loreal,207,7,2017,54.589371980676326
loreal,251,8,2017,47.01195219123506
loreal,388,9,2017,62.628865979381445
loreal,369,10,2017,51.490514905149055
loreal,296,11,2017,55.74324324324324
loreal,240,12,2017,72.5
pantene,78,1,2017,80.76923076923077
pantene,112,2,2017,84.82142857142857
pantene,62,3,2017,64.51612903225806
pantene,30,4,2017,76.66666666666667
pantene,94,5,2017,73.40425531914893
pantene,55,6,2017,60.0
pantene,88,7,2017,79.54545454545455
pantene,74,8,2017,71.62162162162163
pantene,354,9,2017,79.09604519774011
pantene,216,10,2017,80.0925925925926
pantene,34,11,2017,73.52941176470588
pantene,75,12,2017,84.0
