source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
SMPD9FYFGBTBHSWQ,1,4,1,0,4,17,26,4.115,77.875
SMPD9FYFZTGBBT77,1,13,4,9,16,30,72,3.639,65.975
SMPD9NASAXEFFEBK,1,1,2,0,1,1,5,2.8,45.0
SMPD9TCMC7GGGZKZ,1,3,1,2,5,18,29,4.172,79.3
SMPD9TCMG2SGMETS,1,3,1,1,4,12,21,4.0,75.0
SMPDETDFEBYHU6ZA,1,8,0,2,5,10,25,3.36,59.0
SMPDETDFESVCZBDH,1,1,0,0,0,0,1,1.0,0.0
SMPDFZTB7QQTGUHJ,1,23,8,10,21,42,104,3.49,62.25
SMPDG2WF7GHZA3ZZ,1,15,2,2,10,25,54,3.519,62.975
SMPDG34PK3G8DGQR,1,1,0,0,6,14,21,4.524,88.1
SMPDTTHZG6HAFYDX,1,3,1,1,3,10,18,3.889,72.225
SMPDTTHZU2WUYQU8,1,11,1,2,5,6,25,2.76,44.0
SMPDTZ7U37E5WZUF,1,1,0,0,3,1,5,3.6,65.0
SMPDTZ7U86XVUFGM,1,3,3,1,7,12,26,3.846,71.15
SMPDV3785DGTBVHZ,1,1,1,1,2,1,6,3.167,54.175
SMPDV378GXGZFZWQ,1,18,2,2,4,6,32,2.313,32.825
SMPDVHNZCJ4YNXUR,1,3,2,2,0,1,8,2.25,31.25
SMPDVHNZSMXQHBAW,1,1,0,0,0,3,4,4.0,75.0
SMPDVYVJHMANQWY8,1,2,0,0,0,1,3,2.333,33.325
SMPDVYVJHPYGMSWE,1,1,0,0,0,0,1,1.0,0.0
SMPDZBXFZ2KKZACP,1,3,1,5,2,16,27,4.0,75.0
SMPE3GFZG73JGGZD,1,10,0,0,1,6,17,2.588,39.7
SMPE5JZYUG6E9ZET,1,0,0,1,0,1,2,4.0,75.0
SMPE664NHMGJNWZF,1,1,0,0,0,0,1,1.0,0.0
SMPE7C25HT4G7EBC,1,12,4,6,10,28,60,3.633,65.825
SMPE8VVPPV9ZFGYH,1,6,2,0,3,10,21,3.429,60.725
SMPE9CMM94XZ6XZY,1,14,2,2,2,9,29,2.655,41.375
SMPEAEGMHDMUG3QD,1,0,0,0,1,3,4,4.75,93.75
SMPEAFT5TKYXB5UG,1,25,5,9,14,21,74,3.014,50.35
SMPECA7EKFP9CETW,1,0,0,0,0,2,2,5.0,100.0
SMPEE4QZ96UCKPHZ,1,6,0,3,6,18,33,3.909,72.725
SMPEE82HHKFM4SAT,1,0,0,0,0,2,2,5.0,100.0
SMPEG39R884ACXTB,1,14,3,0,0,4,21,1.905,22.625
SMPEG64URBKVQX3C,1,2,0,0,0,0,2,1.0,0.0
SMPEGP92YQHSZ67R,1,28,8,1,11,20,68,2.809,45.225
SMPEGPBREF4NF7XX,1,19,3,1,2,6,31,2.129,28.225
SMPEGPBS4HXMZCHX,1,0,0,0,0,2,2,5.0,100.0
SMPEGPBTCCHWKGGG,1,10,0,0,2,2,14,2.0,25.0
SMPEGPBTWBXCFAYD,1,1,1,0,0,1,3,2.667,41.675
SMPEGPBUFPYZZR4Y,1,25,1,3,1,1,31,1.452,11.3
SMPEGSZHGU9FUE7G,1,4,1,0,0,1,6,1.833,20.825
SMPEGVXMX8ZXTYY5,1,6,0,1,1,1,9,2.0,25.0
SMPEGZYC4HKG2WA7,1,11,2,0,0,0,13,1.154,3.85
SMPEHABQKWZTHG4Q,1,11,1,1,1,3,17,2.059,26.475
SMPEHEUE8F5QZHMU,1,8,0,0,0,0,8,1.0,0.0
SMPEHEUFT5V73V38,1,24,1,1,3,3,32,1.75,18.75
SMPEHF37ZXHPAET5,1,3,0,1,1,1,6,2.5,37.5
SMPEHFFZ6ZAQYYAR,1,2,1,0,0,2,5,2.8,45.0
SMPEHFJSJ5PNWG2W,1,0,0,0,0,1,1,5.0,100.0
SMPEHHY4QGP9ZW5E,1,1,0,0,0,0,1,1.0,0.0
SMPEJ9FF6DNVGZ34,1,2,0,1,4,12,19,4.263,81.575
SMPEJ9FFFG2NMAFT,1,2,0,0,2,4,8,3.75,68.75
SMPEJ9FFJAHGEAZT,1,2,1,2,4,8,17,3.882,72.05
SMPEJ9FFNHDW5HBH,1,2,3,2,6,16,29,4.069,76.725
SMPEJ9FFU86MGSNP,1,6,0,3,8,19,36,3.944,73.6
SMPEJ9FFZTFDZQ8D,1,6,1,6,9,14,36,3.667,66.675
SMPEJFRQUAGGDEBF,1,9,2,3,10,22,46,3.739,68.475
SMPEJJGVVUKWQS9G,1,9,0,0,0,0,9,1.0,0.0
SMPEKZMDVEP2GCR8,1,1,0,0,0,0,1,1.0,0.0
SMPENR7SECNBXD7Z,1,4,1,1,7,8,21,3.667,66.675
SMPEPAHECQYPWAZ8,1,5,0,1,0,0,6,1.333,8.325
SMPEPAHEMWZHCUQF,1,2,0,0,0,0,2,1.0,0.0
SMPEPBHECDFUQH98,1,10,0,0,0,3,13,1.923,23.075
SMPEPFCPKTMKFWNX,1,2,1,0,2,2,7,3.143,53.575
SMPEQ3VGTEZWD4ZY,1,1,0,0,1,0,2,2.5,37.5
