Brand_name,Total_Number_of_Reviews,Month,Year
revlon,12,1,2017
revlon,6,2,2017
revlon,7,3,2017
revlon,12,4,2017
revlon,9,5,2017
revlon,12,6,2017
revlon,3,7,2017
revlon,9,8,2017
revlon,14,9,2017
revlon,8,10,2017
revlon,1,11,2017
revlon,6,12,2017
lotus,17,1,2017
lotus,15,2,2017
lotus,18,3,2017
lotus,15,4,2017
lotus,16,5,2017
lotus,20,6,2017
lotus,19,7,2017
lotus,13,8,2017
lotus,31,9,2017
lotus,81,10,2017
lotus,62,11,2017
lotus,100,12,2017
colorbar,109,1,2017
colorbar,115,2,2017
colorbar,73,3,2017
colorbar,76,4,2017
colorbar,95,5,2017
colorbar,85,6,2017
colorbar,91,7,2017
colorbar,89,8,2017
colorbar,104,9,2017
colorbar,89,10,2017
colorbar,116,11,2017
colorbar,95,12,2017
maybelline,416,1,2017
maybelline,409,2,2017
maybelline,498,3,2017
maybelline,426,4,2017
maybelline,702,5,2017
maybelline,519,6,2017
maybelline,362,7,2017
maybelline,302,8,2017
maybelline,613,9,2017
maybelline,702,10,2017
maybelline,480,11,2017
maybelline,686,12,2017
loreal,174,1,2017
loreal,228,2,2017
loreal,174,3,2017
loreal,158,4,2017
loreal,286,5,2017
loreal,201,6,2017
loreal,146,7,2017
loreal,91,8,2017
loreal,211,9,2017
loreal,127,10,2017
loreal,84,11,2017
loreal,120,12,2017
coloressence,9,1,2017
coloressence,11,2,2017
coloressence,8,3,2017
coloressence,9,4,2017
coloressence,8,5,2017
coloressence,11,6,2017
coloressence,8,7,2017
coloressence,3,8,2017
coloressence,6,9,2017
coloressence,6,10,2017
coloressence,6,11,2017
coloressence,9,12,2017
lakme,663,1,2017
lakme,663,2,2017
lakme,531,3,2017
lakme,513,4,2017
lakme,663,5,2017
lakme,643,6,2017
lakme,520,7,2017
lakme,518,8,2017
lakme,900,9,2017
lakme,892,10,2017
lakme,582,11,2017
lakme,620,12,2017
elf,1,3,2017
elf,1,5,2017
anna,1,2,2017
anna,1,7,2017
anna,1,12,2017
meilin,3,1,2017
meilin,1,2,2017
meilin,1,3,2017
meilin,1,4,2017
meilin,2,6,2017
meilin,1,7,2017
meilin,1,9,2017
meilin,2,12,2017
cameleon,6,1,2017
cameleon,4,2,2017
cameleon,2,3,2017
cameleon,7,4,2017
cameleon,2,5,2017
cameleon,2,6,2017
cameleon,3,7,2017
cameleon,1,8,2017
cameleon,3,9,2017
cameleon,3,10,2017
cameleon,3,11,2017
cameleon,7,12,2017
chambor,1,1,2017
chambor,3,2,2017
chambor,1,4,2017
chambor,2,6,2017
chambor,1,8,2017
chambor,1,11,2017
chambor,1,12,2017
avon,17,1,2017
avon,16,2,2017
avon,8,3,2017
avon,1,4,2017
avon,8,5,2017
avon,9,6,2017
avon,15,7,2017
avon,9,8,2017
avon,12,9,2017
avon,11,10,2017
avon,3,11,2017
avon,4,12,2017
teen,3,1,2017
teen,5,2,2017
teen,1,3,2017
teen,4,4,2017
teen,9,5,2017
teen,1,6,2017
teen,2,7,2017
teen,4,9,2017
teen,2,10,2017
teen,1,11,2017
glam,3,1,2017
glam,4,2,2017
glam,1,4,2017
glam,3,5,2017
glam,4,6,2017
glam,4,7,2017
glam,1,8,2017
