Sum of Total_Number_of_Reviews,Column Labels,,,,,
i,colorbar,lakme,loreal,mac,maybelline,Grand Total
2017-02,115,663,228,130,413,1549
2017-03,73,531,174,82,502,1362
2017-04,76,513,158,147,432,1326
2017-05,95,663,286,89,712,1845
2017-06,85,643,201,87,526,1542
2017-07,91,520,146,106,365,1228
2017-08,89,518,91,105,305,1108
2017-09,104,900,211,39,625,1879
2017-10,89,892,127,69,714,1891
2017-11,116,582,84,73,490,1345
2017-12,95,620,120,93,740,1668
2018-01,14,150,27,21,197,409
Grand Total,1042,7195,1853,1041,6021,17152
