Brand_name,Total_positive_fragments,Total_review_fragments,Total_positive percentage,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
revlon,709,896,0.7912946428571429,161,22.708039492242595,12,1.692524682651622,536,75.59943582510579
colorbar,6864,8432,0.8140417457305503,619,9.01806526806527,585,8.522727272727272,5660,82.45920745920746
maybelline,18994,27650,0.6869439421338156,4511,23.749605138464776,7023,36.974834158155204,7460,39.275560703380016
loreal,8322,12257,0.678958962225667,2162,25.979331891372265,1557,18.709444844989186,4603,55.31122326363855
coloressence,353,620,0.5693548387096774,245,69.40509915014165,108,30.59490084985836,0,0.0
lakme,30620,39490,0.7753861737148645,2935,9.585238406270411,6127,20.009797517962117,21558,70.40496407576747
cameleon,144,169,0.8520710059171598,87,60.416666666666664,57,39.58333333333333,0,0.0
chambor,58,69,0.8405797101449275,14,24.137931034482758,44,75.86206896551724,0,0.0
avon,530,652,0.8128834355828221,49,9.245283018867925,53,10.0,428,80.75471698113208
lancome,1,4,0.25,1,100.0,0,0.0,0,0.0
teen,100,159,0.6289308176100629,100,100.0,0,0.0,0,0.0
glam,89,131,0.6793893129770993,48,53.93258426966292,41,46.06741573033708,0,0.0
kveda,64,97,0.6597938144329897,44,68.75,20,31.25,0,0.0
mn,136,216,0.6296296296296297,57,41.911764705882355,79,58.08823529411765,0,0.0
diana,451,616,0.7321428571428571,151,33.48115299334812,300,66.51884700665188,0,0.0
lotus,733,1149,0.6379460400348129,233,31.78717598908595,500,68.21282401091405,0,0.0
cover,51,76,0.6710526315789473,45,88.23529411764706,6,11.76470588235294,0,0.0
hilary,154,221,0.6968325791855203,140,90.9090909090909,14,9.090909090909092,0,0.0
rimmel,14,17,0.8235294117647058,14,100.0,0,0.0,0,0.0
7_heaven,220,356,0.6179775280898876,202,91.81818181818183,18,8.181818181818182,0,0.0
mars,95,170,0.5588235294117647,57,60.0,38,40.0,0,0.0
faces,844,1186,0.7116357504215851,134,15.876777251184834,710,84.12322274881517,0,0.0
music,2022,2789,0.7249910362136966,978,48.367952522255194,1044,51.632047477744806,0,0.0
kudos,8,13,0.6153846153846154,8,100.0,0,0.0,0,0.0
makeup,343,447,0.767337807606264,337,98.25072886297376,6,1.749271137026239,0,0.0
me,89,131,0.6793893129770993,89,100.0,0,0.0,0,0.0
bobbi,6,11,0.5454545454545454,1,16.666666666666664,5,83.33333333333334,0,0.0
hr,142,205,0.6926829268292682,142,100.0,0,0.0,0,0.0
ads,350,664,0.5271084337349398,128,36.57142857142857,222,63.42857142857142,0,0.0
incolor,208,272,0.7647058823529411,172,82.6923076923077,36,17.307692307692307,0,0.0
celebrity,6,6,1.0,6,100.0,0,0.0,0,0.0
hope,10,11,0.9090909090909091,10,100.0,0,0.0,0,0.0
essence,80,127,0.6299212598425197,12,15.0,68,85.0,0,0.0
c_a_l_los_angeles,146,233,0.6266094420600858,49,33.56164383561644,97,66.43835616438356,0,0.0
out,1,10,0.1,0,0.0,1,100.0,0,0.0
natio,10,17,0.5882352941176471,3,30.0,7,70.0,0,0.0
beauty,22,35,0.6285714285714286,2,9.090909090909092,20,90.9090909090909,0,0.0
oriflame,196,340,0.5764705882352941,171,87.24489795918367,25,12.755102040816327,0,0.0
castillo,18,29,0.6206896551724138,18,100.0,0,0.0,0,0.0
insight,152,197,0.7715736040609137,42,27.631578947368425,110,72.36842105263158,0,0.0
blue,527,764,0.6897905759162304,269,51.04364326375711,258,48.95635673624288,0,0.0
maybeline,131,258,0.5077519379844961,131,100.0,0,0.0,0,0.0
glam21,91,153,0.5947712418300654,91,100.0,0,0.0,0,0.0
forteens,21,30,0.7,21,100.0,0,0.0,0,0.0
star,3,7,0.42857142857142855,3,100.0,0,0.0,0,0.0
sivanna,38,55,0.6909090909090909,38,100.0,0,0.0,0,0.0
qumeidie,91,136,0.6691176470588235,82,90.10989010989012,9,9.89010989010989,0,0.0
miss,45,74,0.6081081081081081,40,88.88888888888889,5,11.11111111111111,0,0.0
kiss,99,150,0.66,51,51.515151515151516,48,48.484848484848484,0,0.0
mua,48,74,0.6486486486486487,48,100.0,0,0.0,0,0.0
balm,6,10,0.6,6,100.0,0,0.0,0,0.0
freedom,115,154,0.7467532467532467,115,100.0,0,0.0,0,0.0
n,17,22,0.7727272727272727,17,100.0,0,0.0,0,0.0
vlcc,313,389,0.8046272493573264,58,18.53035143769968,255,81.46964856230032,0,0.0
shahnaz,30,40,0.75,25,83.33333333333334,5,16.666666666666664,0,0.0
mac,5756,6511,0.8840423898018738,15,0.26059763724808893,0,0.0,5741,99.7394023627519
soultree,28,28,1.0,28,100.0,0,0.0,0,0.0
meilin,38,65,0.5846153846153846,15,39.473684210526315,23,60.526315789473685,0,0.0
iba,15,18,0.8333333333333334,15,100.0,0,0.0,0,0.0
plum,229,344,0.6656976744186046,229,100.0,0,0.0,0,0.0
glitters,12,19,0.631578947368421,12,100.0,0,0.0,0,0.0
color,33,80,0.4125,5,15.151515151515152,28,84.84848484848484,0,0.0
