source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
ELRD96GN3WE3BCYP,1,0,0,0,1,1,2,4.5,87.5
ELRD96GNBBBDEHEZ,1,5,1,2,2,7,17,3.294,57.35
ELRD96GNDQZ9RGM2,1,1,0,0,2,0,3,3.0,50.0
ELRD96GNGFZCZANN,1,1,0,1,1,2,5,3.6,65.0
ELRD96GNMGBTYWUF,1,3,0,1,0,1,5,2.2,30.0
ELRD9N8XDU2ZGZCC,1,3,3,1,4,14,25,3.92,73.0
ELRD9N8XEHA83UU9,1,3,2,0,1,5,11,3.273,56.825
ELRD9N8XHDU9UUU6,1,107,30,76,24,69,306,2.732,43.3
ELRDAWTYETDNQQJ8,1,4,2,2,0,1,9,2.111,27.775
ELRDFQRBZQ2H6EHG,1,52,21,50,14,51,188,2.952,48.8
ELRDFRSER7DGT47F,1,3,0,1,1,1,6,2.5,37.5
ELRDJEXRH2K7FVJU,1,24,4,3,4,14,49,2.592,39.8
ELRDVGSZCGZWZFJF,1,9,0,2,0,4,15,2.333,33.325
ELRDY6ERAHHSFR68,1,7,2,2,4,12,27,3.444,61.1
ELRDYRGCUKCTCZCD,1,3,1,0,3,6,13,3.615,65.375
ELRE292ZT9MHHPFM,1,1,1,1,0,1,4,2.75,43.75
ELRE2GV3HWH68YSB,1,1,0,0,0,2,3,3.667,66.675
ELRE2YAASVZGPKFA,1,1,1,0,2,3,7,3.714,67.85
ELRE39Q4CHGUZTJB,1,0,0,1,0,0,1,3.0,50.0
ELRE3FHHJYYGETGX,1,3,2,3,1,9,18,3.611,65.275
ELRE3H54JRHDFGWW,1,9,4,3,11,19,46,3.587,64.675
ELRE3JGGTEPVPNSW,1,2,0,2,3,5,12,3.75,68.75
ELRE4BDBBDBU3UBC,1,0,1,1,2,3,7,4.0,75.0
ELRE4BR5FD2ZVGSD,1,4,0,0,2,1,7,2.429,35.725
ELRE5FCYGGN6GF2Q,1,0,0,1,2,3,6,4.333,83.325
ELRE5GM8HMJGJXKU,1,4,2,3,4,11,24,3.667,66.675
ELRE5GZFTXFZVNQM,1,5,3,1,10,12,31,3.677,66.925
ELRE5HG6XZHXXMGW,1,9,3,1,2,1,16,1.938,23.45
ELRE5HYGHEEUHCVM,1,0,0,0,1,2,3,4.667,91.675
ELRE5M45GZMJDHNX,1,2,0,0,0,1,3,2.333,33.325
ELRE65WVKED7HMTB,1,1,1,1,2,1,6,3.167,54.175
ELRE695FEKS7G8AQ,1,0,0,2,0,1,3,3.667,66.675
ELRE6YVNFHGBMH8A,1,11,5,5,12,23,56,3.554,63.85
ELRE74H9B3FF22ZG,1,0,0,0,1,4,5,4.8,95.0
ELRE7FYTHGKBS6WM,1,1,0,1,1,1,4,3.25,56.25
ELRE7GTGW5QYYAYR,1,1,0,0,1,1,3,3.333,58.325
ELRE7KY47KPHCKKP,1,2,1,1,1,0,5,2.2,30.0
ELRE7M3QWYDPQPYW,1,0,0,1,0,0,1,3.0,50.0
ELRE7RGB9VYNHZHZ,1,0,1,0,0,0,1,2.0,25.0
ELRE7SVEFZBB2KFM,1,8,5,9,17,17,56,3.536,63.4
ELRE8GGRG7VHYESW,1,1,0,0,1,0,2,2.5,37.5
ELRE8VSEETDPUYEW,1,0,0,0,2,2,4,4.5,87.5
ELRE955HEQZ7RHX6,1,0,0,0,0,4,4,5.0,100.0
ELRE9H9GADMU3MXN,1,4,0,0,1,1,6,2.167,29.175
ELRE9JEYQKMSHFWV,1,3,0,0,0,1,4,2.0,25.0
ELRE9ZVQBD6MTBHY,1,0,0,1,3,3,7,4.286,82.15
ELRE9ZY5WBPEGSBT,1,10,1,1,1,0,13,1.462,11.55
ELREAEHFYH9HKK8D,1,19,0,1,3,8,31,2.387,34.675
ELREAF2ZNKZDFJ3Z,1,1,0,0,1,1,3,3.333,58.325
ELREAFCDHPQVBHKY,1,2,0,0,0,1,3,2.333,33.325
ELREAG4DE8CPWFZG,1,4,0,1,1,3,9,2.889,47.225
ELREAHMTMMGVK45H,1,0,0,0,1,4,5,4.8,95.0
ELREAN42BJEGZH3Y,1,4,1,6,11,21,43,4.023,75.575
ELREANM6323HFX5A,1,11,2,1,3,6,23,2.609,40.225
ELREARZGQPHS5YGR,1,2,0,0,1,1,4,2.75,43.75
ELREB56QH4T7EUNQ,1,5,3,4,8,18,38,3.816,70.4
ELREBCMKGHXZR4SJ,1,1,0,0,1,1,3,3.333,58.325
ELREBFDW4JYTBCMH,1,2,0,1,1,2,6,3.167,54.175
ELREBFGHQFZF9RCS,1,0,1,0,1,0,2,3.0,50.0
ELREBH5SPSPPHCYP,1,1,1,0,0,0,2,1.5,12.5
ELREBPZ5MSHHTSDA,1,0,1,0,0,0,1,2.0,25.0
ELREBYMXEZKBXKAF,1,0,0,2,0,1,3,3.667,66.675
ELRECD9KJTHJS626,1,7,3,3,10,14,37,3.568,64.2
ELRECF6D3RFWDWAH,1,3,0,0,0,0,3,1.0,0.0
ELRECHWBNEKG8XHH,1,0,0,1,0,0,1,3.0,50.0
ELRED2ZSHS2ZQ8AB,1,0,1,0,1,3,5,4.2,80.0
ELREDGGEPKUNPRU9,1,0,0,0,1,1,2,4.5,87.5
ELREDKQP5ZQVDSHZ,1,2,0,0,0,2,4,3.0,50.0
ELREDZEH6AA3HFPU,1,1,0,0,1,0,2,2.5,37.5
ELREDZHY53M4DXK4,1,5,1,2,2,11,21,3.619,65.475
ELREDZYSNFSMM6GJ,1,2,0,0,2,8,12,4.167,79.175
ELREE2A5CMYRMHRK,1,1,0,3,0,1,5,3.0,50.0
ELREE7VRYHR5SRZF,1,2,0,2,0,5,9,3.667,66.675
ELREE9B7PKHDMCZZ,1,1,0,0,4,2,7,3.857,71.425
ELREEDEGCHFMMWAX,1,4,0,3,3,6,16,3.438,60.95
ELREEH82G7QWGFAP,1,2,0,1,1,2,6,3.167,54.175
ELREEHHB37RYPNG6,1,1,2,2,9,2,16,3.563,64.075
ELREEMF6SD37MESP,1,18,3,4,2,5,32,2.156,28.9
