Brand_name,TotalPositive__Reviews,Month,Year,positive
Pantene,129,1,2017,82.17054263565892
Pantene,119,2,2017,85.71428571428571
Pantene,63,3,2017,68.25396825396825
Pantene,29,4,2017,72.41379310344827
Pantene,109,5,2017,69.72477064220183
Pantene,58,6,2017,56.896551724137936
Pantene,88,7,2017,79.54545454545455
Pantene,89,8,2017,71.91011235955057
Pantene,560,9,2017,84.10714285714286
Pantene,320,10,2017,81.25
Pantene,38,11,2017,76.31578947368422
Pantene,311,12,2017,76.52733118971061
l'oreal,359,1,2017,71.03064066852369
l'oreal,296,2,2017,71.28378378378379
l'oreal,420,3,2017,66.66666666666666
l'oreal,687,4,2017,78.60262008733623
l'oreal,532,5,2017,75.18796992481202
l'oreal,387,6,2017,69.25064599483204
l'oreal,523,7,2017,73.04015296367112
l'oreal,665,8,2017,70.97744360902256
l'oreal,561,9,2017,67.37967914438502
l'oreal,599,10,2017,63.43906510851419
l'oreal,881,11,2017,70.14755959137344
l'oreal,669,12,2017,71.15097159940208
Dove,254,1,2017,77.95275590551181
Dove,299,2,2017,79.26421404682274
Dove,290,3,2017,81.37931034482759
Dove,977,4,2017,87.2057318321392
Dove,391,5,2017,80.05115089514067
Dove,244,6,2017,63.52459016393443
Dove,322,7,2017,71.73913043478261
Dove,478,8,2017,81.79916317991632
Dove,439,9,2017,78.35990888382688
Dove,377,10,2017,75.06631299734748
Dove,252,11,2017,76.5873015873016
Dove,248,12,2017,77.01612903225806
