Brand_name,TotalPositive__Reviews,Month,Year,positive
Head & Shoulders,36,1,2017,86.11111111111111
Head & Shoulders,75,2,2017,78.66666666666666
Head & Shoulders,99,3,2017,69.6969696969697
Head & Shoulders,56,4,2017,80.35714285714286
Head & Shoulders,143,5,2017,72.72727272727273
Head & Shoulders,92,6,2017,79.34782608695652
Head & Shoulders,84,7,2017,72.61904761904762
Head & Shoulders,95,8,2017,62.10526315789474
Head & Shoulders,200,9,2017,72.0
Head & Shoulders,75,10,2017,73.33333333333333
Head & Shoulders,48,11,2017,89.58333333333334
Head & Shoulders,120,12,2017,70.0
Pantene,129,1,2017,82.17054263565892
Pantene,119,2,2017,85.71428571428571
Pantene,63,3,2017,68.25396825396825
Pantene,29,4,2017,72.41379310344827
Pantene,109,5,2017,69.72477064220183
Pantene,58,6,2017,56.896551724137936
Pantene,88,7,2017,79.54545454545455
Pantene,89,8,2017,71.91011235955057
Pantene,560,9,2017,84.10714285714286
Pantene,320,10,2017,81.25
Pantene,38,11,2017,76.31578947368422
Pantene,311,12,2017,76.52733118971061
