Brand_name,Total_Number_of_Reviews,Month,Year
lotus,319,1,2017
lotus,301,2,2017
lotus,371,3,2017
lotus,455,4,2017
lotus,453,5,2017
lotus,450,6,2017
lotus,428,7,2017
lotus,381,8,2017
lotus,534,9,2017
lotus,541,10,2017
lotus,470,11,2017
lotus,484,12,2017
olay,133,1,2017
olay,153,2,2017
olay,134,3,2017
olay,106,4,2017
olay,139,5,2017
olay,111,6,2017
olay,125,7,2017
olay,138,8,2017
olay,262,9,2017
olay,218,10,2017
olay,213,11,2017
olay,240,12,2017
loreal,109,1,2017
loreal,115,2,2017
loreal,114,3,2017
loreal,110,4,2017
loreal,105,5,2017
loreal,73,6,2017
loreal,79,7,2017
loreal,94,8,2017
loreal,90,9,2017
loreal,120,10,2017
loreal,104,11,2017
loreal,102,12,2017
lakme,393,1,2017
lakme,323,2,2017
lakme,322,3,2017
lakme,297,4,2017
lakme,335,5,2017
lakme,308,6,2017
lakme,250,7,2017
lakme,322,8,2017
lakme,392,9,2017
lakme,476,10,2017
lakme,387,11,2017
lakme,361,12,2017
mcaffeine,11,4,2017
mcaffeine,23,5,2017
mcaffeine,1,6,2017
mcaffeine,8,7,2017
mcaffeine,16,8,2017
mcaffeine,45,9,2017
mcaffeine,8,10,2017
mcaffeine,120,11,2017
mcaffeine,128,12,2017
neutrogena,57,1,2017
neutrogena,75,2,2017
neutrogena,124,3,2017
neutrogena,88,4,2017
neutrogena,138,5,2017
neutrogena,115,6,2017
neutrogena,119,7,2017
neutrogena,106,8,2017
neutrogena,110,9,2017
neutrogena,106,10,2017
neutrogena,114,11,2017
neutrogena,109,12,2017
aveeno,2,8,2017
aveeno,3,10,2017
aveeno,26,11,2017
aveeno,24,12,2017
vlcc,7,1,2017
vlcc,8,2,2017
vlcc,9,3,2017
vlcc,7,4,2017
vlcc,13,5,2017
vlcc,5,6,2017
vlcc,9,7,2017
vlcc,17,8,2017
vlcc,18,9,2017
vlcc,52,10,2017
vlcc,53,11,2017
vlcc,61,12,2017
kama,41,1,2017
kama,48,2,2017
kama,63,3,2017
kama,49,4,2017
kama,68,5,2017
kama,104,6,2017
kama,117,7,2017
kama,107,8,2017
kama,104,9,2017
kama,111,10,2017
kama,153,11,2017
kama,107,12,2017
nivea,69,1,2017
nivea,44,2,2017
nivea,46,3,2017
nivea,48,4,2017
nivea,54,5,2017
nivea,63,6,2017
nivea,101,7,2017
nivea,71,8,2017
nivea,101,9,2017
nivea,130,10,2017
nivea,186,11,2017
nivea,158,12,2017
bio,15,1,2017
bio,26,2,2017
bio,35,3,2017
bio,31,4,2017
bio,33,5,2017
bio,31,6,2017
bio,37,7,2017
bio,35,8,2017
bio,21,9,2017
bio,27,10,2017
bio,45,11,2017
bio,38,12,2017
biotique,44,1,2017
biotique,41,2,2017
biotique,54,3,2017
biotique,54,4,2017
biotique,24,5,2017
biotique,45,6,2017
biotique,44,7,2017
biotique,43,8,2017
biotique,50,9,2017
biotique,69,10,2017
biotique,116,11,2017
biotique,102,12,2017
carolina,4,9,2017
carolina,2,10,2017
carolina,2,11,2017
himalaya,3,1,2017
himalaya,1,4,2017
himalaya,1,5,2017
himalaya,3,6,2017
himalaya,6,7,2017
himalaya,5,8,2017
himalaya,12,9,2017
himalaya,13,10,2017
himalaya,14,11,2017
himalaya,28,12,2017
aroma,17,1,2017
aroma,18,2,2017
aroma,21,3,2017
aroma,31,4,2017
aroma,28,5,2017
aroma,25,6,2017
aroma,17,7,2017
aroma,16,8,2017
aroma,20,9,2017
aroma,27,10,2017
aroma,41,11,2017
aroma,47,12,2017
vaadi,5,1,2017
vaadi,13,2,2017
vaadi,12,3,2017
vaadi,6,4,2017
vaadi,13,5,2017
vaadi,8,6,2017
vaadi,4,7,2017
vaadi,10,8,2017
vaadi,14,9,2017
vaadi,12,10,2017
vaadi,19,11,2017
vaadi,23,12,2017
soulflower,28,1,2017
soulflower,26,2,2017
soulflower,9,3,2017
soulflower,19,4,2017
soulflower,8,5,2017
soulflower,4,6,2017
soulflower,7,7,2017
soulflower,20,8,2017
soulflower,12,9,2017
soulflower,7,10,2017
soulflower,14,11,2017
soulflower,19,12,2017
vaseline,31,1,2017
vaseline,27,2,2017
vaseline,33,3,2017
vaseline,28,4,2017
vaseline,32,5,2017
vaseline,29,6,2017
vaseline,15,7,2017
vaseline,24,8,2017
vaseline,33,9,2017
vaseline,38,10,2017
vaseline,55,11,2017
vaseline,53,12,2017
envy,4,1,2017
envy,6,2,2017
envy,7,3,2017
envy,8,4,2017
envy,12,5,2017
envy,16,6,2017
envy,14,7,2017
envy,18,8,2017
envy,14,9,2017
envy,11,10,2017
envy,19,11,2017
envy,32,12,2017
palmer,1,3,2017
palmer,1,5,2017
palmer,2,7,2017
palmer,3,9,2017
palmer,2,10,2017
palmer,8,11,2017
palmer,10,12,2017
merit,1,2,2017
merit,2,3,2017
merit,2,4,2017
merit,1,6,2017
merit,1,7,2017
merit,1,8,2017
merit,1,9,2017
merit,1,10,2017
merit,2,11,2017
merit,5,12,2017
dove,8,1,2017
dove,16,2,2017
dove,11,3,2017
dove,10,4,2017
dove,14,5,2017
dove,8,6,2017
dove,8,7,2017
dove,7,8,2017
dove,3,9,2017
dove,17,10,2017
dove,34,11,2017
dove,59,12,2017
plum,20,1,2017
plum,21,2,2017
plum,12,3,2017
plum,16,4,2017
plum,9,5,2017
plum,17,6,2017
plum,18,7,2017
plum,14,8,2017
plum,21,9,2017
plum,16,10,2017
plum,27,11,2017
plum,21,12,2017
revlon,1,1,2017
revlon,4,2,2017
revlon,1,4,2017
revlon,2,7,2017
revlon,1,9,2017
