Brand_name,TotalPositive__Reviews,Month,Year,positive
loreal,343,1,2017,68.5131195335277
loreal,377,2,2017,79.84084880636605
loreal,369,3,2017,78.59078590785907
loreal,321,4,2017,67.28971962616822
loreal,341,5,2017,78.88563049853371
loreal,233,6,2017,69.09871244635193
loreal,274,7,2017,72.26277372262774
loreal,322,8,2017,72.98136645962732
loreal,276,9,2017,70.65217391304348
loreal,294,10,2017,72.10884353741497
loreal,235,11,2017,73.19148936170212
loreal,402,12,2017,74.87562189054727
lakme,889,1,2017,80.76490438695163
lakme,687,2,2017,82.53275109170306
lakme,830,3,2017,79.1566265060241
lakme,763,4,2017,76.2778505897772
lakme,877,5,2017,79.24743443557583
lakme,777,6,2017,79.40797940797941
lakme,629,7,2017,77.74244833068363
lakme,813,8,2017,81.30381303813039
lakme,782,9,2017,77.74936061381074
lakme,1103,10,2017,82.23028105167725
lakme,840,11,2017,78.45238095238095
lakme,979,12,2017,81.71603677221655
lotus,872,1,2017,77.1788990825688
lotus,956,2,2017,78.55648535564853
lotus,1073,3,2017,82.0130475302889
lotus,1621,4,2017,77.97655768044417
lotus,1601,5,2017,81.94878201124297
lotus,1320,6,2017,79.92424242424242
lotus,1318,7,2017,81.25948406676783
lotus,1186,8,2017,79.00505902192243
lotus,1472,9,2017,81.79347826086956
lotus,1508,10,2017,81.36604774535809
lotus,1381,11,2017,83.41781317885591
lotus,1394,12,2017,83.14203730272597
olay,309,1,2017,66.01941747572816
olay,317,2,2017,62.46056782334385
olay,259,3,2017,67.56756756756756
olay,297,4,2017,78.11447811447812
olay,409,5,2017,66.25916870415648
olay,206,6,2017,65.0485436893204
olay,199,7,2017,70.85427135678391
olay,305,8,2017,70.49180327868852
olay,412,9,2017,76.45631067961165
olay,439,10,2017,63.32574031890661
olay,1363,11,2017,81.14453411592076
olay,1015,12,2017,82.66009852216749
mcaffeine,118,4,2017,83.05084745762711
mcaffeine,169,5,2017,73.96449704142012
mcaffeine,6,6,2017,83.33333333333334
mcaffeine,54,7,2017,64.81481481481481
mcaffeine,245,8,2017,84.08163265306122
mcaffeine,335,9,2017,84.17910447761194
mcaffeine,114,10,2017,71.05263157894737
mcaffeine,1028,11,2017,83.65758754863813
mcaffeine,880,12,2017,85.22727272727273
neutrogena,357,1,2017,87.39495798319328
neutrogena,434,2,2017,88.47926267281106
neutrogena,597,3,2017,88.60971524288107
neutrogena,513,4,2017,83.82066276803118
neutrogena,860,5,2017,80.93023255813954
neutrogena,678,6,2017,87.31563421828909
neutrogena,700,7,2017,86.14285714285714
neutrogena,597,8,2017,82.07705192629817
neutrogena,635,9,2017,82.04724409448819
neutrogena,595,10,2017,86.72268907563026
neutrogena,591,11,2017,84.77157360406092
neutrogena,625,12,2017,85.76
layer,26,1,2017,57.692307692307686
layer,43,2,2017,90.69767441860465
layer,45,3,2017,71.11111111111111
layer,42,4,2017,69.04761904761905
layer,44,5,2017,81.81818181818183
layer,49,6,2017,83.6734693877551
layer,63,7,2017,82.53968253968253
layer,58,8,2017,79.3103448275862
layer,13,9,2017,76.92307692307693
layer,34,10,2017,58.82352941176471
layer,91,11,2017,78.02197802197803
layer,101,12,2017,79.20792079207921
aveeno,27,8,2017,81.48148148148148
aveeno,23,10,2017,82.6086956521739
aveeno,240,11,2017,80.0
aveeno,138,12,2017,86.95652173913044
vlcc,49,1,2017,83.6734693877551
vlcc,47,2,2017,91.48936170212765
vlcc,66,3,2017,77.27272727272727
vlcc,28,4,2017,92.85714285714286
vlcc,65,5,2017,76.92307692307693
vlcc,30,6,2017,63.33333333333333
vlcc,29,7,2017,72.41379310344827
vlcc,106,8,2017,85.84905660377359
vlcc,87,9,2017,86.20689655172413
vlcc,303,10,2017,85.14851485148515
vlcc,278,11,2017,85.25179856115108
vlcc,352,12,2017,83.80681818181817
kama,285,1,2017,80.7017543859649
kama,325,2,2017,79.38461538461539
kama,403,3,2017,82.38213399503722
kama,294,4,2017,82.31292517006803
kama,446,5,2017,79.14798206278026
kama,580,6,2017,82.24137931034483
kama,683,7,2017,83.30893118594437
kama,607,8,2017,82.53706754530478
kama,627,9,2017,81.97767145135566
kama,605,10,2017,84.13223140495867
kama,991,11,2017,77.19475277497477
kama,609,12,2017,82.59441707717569
st,94,1,2017,85.1063829787234
st,78,2,2017,87.17948717948718
st,45,3,2017,84.44444444444444
st,13,4,2017,84.61538461538461
st,16,7,2017,62.5
st,99,8,2017,94.94949494949495
st,183,9,2017,84.15300546448088
st,193,10,2017,81.86528497409327
st,143,11,2017,86.7132867132867
st,129,12,2017,79.06976744186046
nivea,588,1,2017,72.95918367346938
nivea,285,2,2017,84.56140350877193
nivea,247,3,2017,78.13765182186235
nivea,327,4,2017,85.01529051987767
nivea,290,5,2017,82.75862068965517
nivea,345,6,2017,84.05797101449275
nivea,513,7,2017,82.06627680311891
nivea,399,8,2017,81.45363408521304
nivea,676,9,2017,81.36094674556213
nivea,708,10,2017,82.90960451977402
nivea,981,11,2017,82.46687054026503
nivea,798,12,2017,82.45614035087719
bio,77,1,2017,85.71428571428571
bio,132,2,2017,82.57575757575758
bio,201,3,2017,67.66169154228857
bio,224,4,2017,70.08928571428571
bio,182,5,2017,80.21978021978022
bio,162,6,2017,85.18518518518519
bio,198,7,2017,80.8080808080808
bio,189,8,2017,74.07407407407408
bio,89,9,2017,77.52808988764045
bio,128,10,2017,73.4375
bio,243,11,2017,81.06995884773663
bio,335,12,2017,71.64179104477611
bioderma,14,2,2017,85.71428571428571
bioderma,20,3,2017,70.0
bioderma,28,4,2017,82.14285714285714
bioderma,35,5,2017,71.42857142857143
bioderma,5,6,2017,60.0
bioderma,27,7,2017,81.48148148148148
bioderma,40,8,2017,77.5
bioderma,53,9,2017,88.67924528301887
