Brand_name,Trend_Total_Reviews_positive,Total_review_fragments,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
loreal,7552,10182,206,0.027277542372881356,5876,0.778072033898305,1470,0.19465042372881355
lakme,18806,23630,674,0.03583962565138785,14415,0.7665106880782729,3717,0.19764968627033924
lotus,27842,34889,2770,0.09948997916816321,17287,0.6208964873213131,7785,0.27961353351052365
olay,8364,11157,1584,0.18938307030129126,5727,0.6847202295552367,1053,0.125896700143472
mcaffeine,2905,3467,0,0.0,0,0.0,2905,1.0
neutrogena,45979,54735,0,0.0,0,0.0,45979,1.0
layer,871,1124,0,0.0,0,0.0,871,1.0
aveeno,474,566,0,0.0,0,0.0,474,1.0
vlcc,1595,1917,0,0.0,0,0.0,1595,1.0
kama,7279,8923,0,0.0,0,0.0,7279,1.0
st,1394,1700,0,0.0,0,0.0,1394,1.0
nivea,7135,8766,0,0.0,0,0.0,7135,1.0
bio,2851,3851,0,0.0,0,0.0,2851,1.0
bioderma,289,357,0,0.0,0,0.0,289,1.0
vaseline,2781,3350,0,0.0,0,0.0,2781,1.0
biotique,4515,5606,0,0.0,0,0.0,4515,1.0
himalaya,645,779,0,0.0,0,0.0,645,1.0
aroma,2378,2873,0,0.0,0,0.0,2378,1.0
vaadi,802,1005,0,0.0,0,0.0,802,1.0
soulflower,2390,2798,0,0.0,0,0.0,2390,1.0
envy,771,1004,0,0.0,0,0.0,771,1.0
ponds,5343,6204,0,0.0,0,0.0,5343,1.0
iba,324,461,0,0.0,0,0.0,324,1.0
palmer,176,217,0,0.0,0,0.0,176,1.0
merit,140,150,0,0.0,0,0.0,140,1.0
parachute,472,592,0,0.0,0,0.0,472,1.0
dove,6049,7700,0,0.0,0,0.0,6049,1.0
revlon,158,189,0,0.0,0,0.0,158,1.0
lacto,655,805,0,0.0,0,0.0,655,1.0
plum,1537,2009,0,0.0,0,0.0,1537,1.0
nykaa,625,820,0,0.0,0,0.0,625,1.0
the,4814,5894,0,0.0,0,0.0,4814,1.0
innisfree,508,649,0,0.0,0,0.0,508,1.0
park,238,258,0,0.0,0,0.0,238,1.0
avon,583,741,0,0.0,0,0.0,583,1.0
rexona,146,170,0,0.0,0,0.0,146,1.0
giorgio,87,116,0,0.0,0,0.0,87,1.0
v,141,179,0,0.0,0,0.0,141,1.0
o3,74,79,0,0.0,0,0.0,74,1.0
paco,34,41,0,0.0,0,0.0,34,1.0
titan,391,496,0,0.0,0,0.0,391,1.0
enchanteur,247,318,0,0.0,0,0.0,247,1.0
joy,24,26,0,0.0,0,0.0,24,1.0
forest,409,540,0,0.0,0,0.0,409,1.0
mamaearth,332,391,0,0.0,0,0.0,332,1.0
set,2,2,0,0.0,0,0.0,2,1.0
kaya,515,655,0,0.0,0,0.0,515,1.0
calvin,241,294,0,0.0,0,0.0,241,1.0
estee,48,57,0,0.0,0,0.0,48,1.0
vanesa,214,286,0,0.0,0,0.0,214,1.0
oriflame,92,118,0,0.0,0,0.0,92,1.0
cinthol,417,565,0,0.0,0,0.0,417,1.0
vedic,215,301,0,0.0,0,0.0,215,1.0
davidoff,189,229,0,0.0,0,0.0,189,1.0
elizabeth,36,41,0,0.0,0,0.0,36,1.0
engage,82,105,0,0.0,0,0.0,82,1.0
juicy,132,176,0,0.0,0,0.0,132,1.0
aromamagic,124,147,0,0.0,0,0.0,124,1.0
palmers,158,189,0,0.0,0,0.0,158,1.0
faces,15,21,0,0.0,0,0.0,15,1.0
denver,88,107,0,0.0,0,0.0,88,1.0
sebamed,113,145,0,0.0,0,0.0,113,1.0
nike,167,208,0,0.0,0,0.0,167,1.0
daily,4,5,0,0.0,0,0.0,4,1.0
lanvin,20,26,0,0.0,0,0.0,20,1.0
fabindia,166,225,0,0.0,0,0.0,166,1.0
dolce,13,20,0,0.0,0,0.0,13,1.0
swiss,44,57,0,0.0,0,0.0,44,1.0
boroplus,35,44,0,0.0,0,0.0,35,1.0
yardley,224,277,0,0.0,0,0.0,224,1.0
natural,32,56,0,0.0,0,0.0,32,1.0
ylg,6,6,0,0.0,0,0.0,6,1.0
ralph,54,69,0,0.0,0,0.0,54,1.0
fogg,48,74,0,0.0,0,0.0,48,1.0
natio,35,50,0,0.0,0,0.0,35,1.0
kiehl,55,92,0,0.0,0,0.0,55,1.0
united,19,24,0,0.0,0,0.0,19,1.0
all,106,136,0,0.0,0,0.0,106,1.0
just,144,178,0,0.0,0,0.0,144,1.0
dermalogica,15,15,0,0.0,0,0.0,15,1.0
roses,29,34,0,0.0,0,0.0,29,1.0
clinique,64,70,0,0.0,0,0.0,64,1.0
puresense,69,82,0,0.0,0,0.0,69,1.0
givenchy,21,23,0,0.0,0,0.0,21,1.0
biocare,39,44,0,0.0,0,0.0,39,1.0
pucelle,29,39,0,0.0,0,0.0,29,1.0
vivel,53,56,0,0.0,0,0.0,53,1.0
archies,31,35,0,0.0,0,0.0,31,1.0
shahnaz,6,6,0,0.0,0,0.0,6,1.0
axe,21,32,0,0.0,0,0.0,21,1.0
garnier,702,864,0,0.0,0,0.0,702,1.0
carolina,42,45,0,0.0,0,0.0,42,1.0
colorbar,26,28,0,0.0,0,0.0,26,1.0
bvlgari,25,30,0,0.0,0,0.0,25,1.0
marc,56,67,0,0.0,0,0.0,56,1.0
jimmy,10,15,0,0.0,0,0.0,10,1.0
khadi,15,20,0,0.0,0,0.0,15,1.0
chloe,30,38,0,0.0,0,0.0,30,1.0
nautica,0,4,0,0.0,0,0.0,0,0.0
happily,1,2,0,0.0,0,0.0,1,1.0
india,4,4,0,0.0,0,0.0,4,1.0
coach,15,23,0,0.0,0,0.0,15,1.0
roberto,11,14,0,0.0,0,0.0,11,1.0
m,2,4,0,0.0,0,0.0,2,1.0
eva,58,63,0,0.0,0,0.0,58,1.0
kamasutra,0,1,0,0.0,0,0.0,0,0.0
panache,12,15,0,0.0,0,0.0,12,1.0
disney,6,6,0,0.0,0,0.0,6,1.0
uriage,4,4,0,0.0,0,0.0,4,1.0
votre,6,8,0,0.0,0,0.0,6,1.0
coloressence,18,23,0,0.0,0,0.0,18,1.0
skin,45,49,0,0.0,0,0.0,45,1.0
it,39,51,0,0.0,0,0.0,39,1.0
montblanc,1,1,0,0.0,0,0.0,1,1.0
narciso,1,1,0,0.0,0,0.0,1,1.0
