Brand_name,Total_positive_fragments,Total_review_fragments,Total_positive percentage,Flipkart_total_positive,Flipkart,Amazon_total_positive,Amazon,Nyka_total_positive,Nyka
loreal,7004,9532,0.7347880822492656,197,2.8126784694460305,5393,76.9988577955454,1414,20.188463735008565
lakme,17207,21826,0.7883716668193897,648,3.7659092229906435,13078,76.00395188004882,3481,20.23013889696054
lotus,25993,32794,0.7926145026529243,2670,10.271996306697957,15800,60.78559612203286,7523,28.942407571269186
olay,7831,10529,0.7437553423876911,1521,19.42280679351296,5298,67.654194866556,1012,12.922998339931043
mcaffeine,2780,3331,0.8345842089462624,0,0.0,0,0.0,2780,100.0
neutrogena,8973,10630,0.8441204139228599,0,0.0,0,0.0,8973,100.0
layer,745,998,0.7464929859719439,0,0.0,0,0.0,745,100.0
aveeno,448,538,0.8327137546468402,0,0.0,0,0.0,448,100.0
vlcc,1513,1834,0.8249727371864777,0,0.0,0,0.0,1513,100.0
kama,6884,8502,0.809691837214773,0,0.0,0,0.0,6884,100.0
st,1283,1569,0.8177182919056724,0,0.0,0,0.0,1283,100.0
nivea,6587,8099,0.8133102852203976,0,0.0,0,0.0,6587,100.0
bio,2715,3704,0.7329913606911447,0,0.0,0,0.0,2715,100.0
bioderma,271,337,0.8041543026706232,0,0.0,0,0.0,271,100.0
vaseline,2664,3209,0.8301651604861328,0,0.0,0,0.0,2664,100.0
biotique,4177,5227,0.7991199540845609,0,0.0,0,0.0,4177,100.0
himalaya,620,754,0.8222811671087533,0,0.0,0,0.0,620,100.0
aroma,2302,2797,0.8230246692885235,0,0.0,0,0.0,2302,100.0
vaadi,739,940,0.7861702127659574,0,0.0,0,0.0,739,100.0
soulflower,2257,2665,0.8469043151969982,0,0.0,0,0.0,2257,100.0
envy,736,966,0.7619047619047619,0,0.0,0,0.0,736,100.0
ponds,5101,5926,0.8607829902126224,0,0.0,0,0.0,5101,100.0
iba,303,437,0.6933638443935927,0,0.0,0,0.0,303,100.0
palmer,167,208,0.8028846153846154,0,0.0,0,0.0,167,100.0
merit,130,140,0.9285714285714286,0,0.0,0,0.0,130,100.0
parachute,440,552,0.7971014492753623,0,0.0,0,0.0,440,100.0
dove,2583,3314,0.7794206397103198,0,0.0,0,0.0,2583,100.0
revlon,127,151,0.8410596026490066,0,0.0,0,0.0,127,100.0
lacto,585,714,0.819327731092437,0,0.0,0,0.0,585,100.0
plum,1488,1959,0.7595712098009189,0,0.0,0,0.0,1488,100.0
nykaa,594,789,0.752851711026616,0,0.0,0,0.0,594,100.0
the,4397,5409,0.8129044185616565,0,0.0,0,0.0,4397,100.0
innisfree,449,588,0.7636054421768708,0,0.0,0,0.0,449,100.0
park,224,244,0.9180327868852459,0,0.0,0,0.0,224,100.0
avon,568,726,0.7823691460055097,0,0.0,0,0.0,568,100.0
rexona,144,168,0.8571428571428571,0,0.0,0,0.0,144,100.0
giorgio,85,114,0.7456140350877193,0,0.0,0,0.0,85,100.0
v,137,175,0.7828571428571428,0,0.0,0,0.0,137,100.0
o3,69,74,0.9324324324324325,0,0.0,0,0.0,69,100.0
paco,32,39,0.8205128205128205,0,0.0,0,0.0,32,100.0
titan,381,486,0.7839506172839507,0,0.0,0,0.0,381,100.0
enchanteur,233,303,0.768976897689769,0,0.0,0,0.0,233,100.0
joy,23,24,0.9583333333333334,0,0.0,0,0.0,23,100.0
forest,393,524,0.75,0,0.0,0,0.0,393,100.0
