source_product_id,source,1star_count,2star_count,3star_count,4star_count,5star_count,total_count,average_5star,average_pct
ATADFRRKFCWVRQSF,1,2,1,0,0,2,5,2.8,45.0
ATADV47WKVHVMYYZ,1,3,1,0,2,5,11,3.455,61.375
ATAE7M3MHZAZYSAV,1,1,3,4,2,9,19,3.789,69.725
ATAE7MGC4JUEWPFG,1,0,3,4,3,18,28,4.286,82.15
ATAE7NAGMHDWC6P7,1,3,0,2,14,20,39,4.231,80.775
ATAE7RQYASUX5QSM,1,0,2,0,1,4,7,4.0,75.0
ATAE7UYGGCPGEKY6,1,0,0,2,1,1,4,3.75,68.75
ATAEAH7BPDGG72NV,1,0,1,0,1,4,6,4.333,83.325
ATAEAZEY5XCEMRTT,1,0,1,1,3,2,7,3.857,71.425
ATAECENG7BGSZD35,1,0,0,2,4,4,10,4.2,80.0
ATAEF7HJZ34DPNQE,1,1,0,0,1,1,3,3.333,58.325
ATAEH7WFAAZRQWAW,1,0,0,0,1,3,4,4.75,93.75
ATAEHMKFPZEGJGSY,1,0,0,0,0,1,1,5.0,100.0
ATAEP6JRE7WMQYPF,1,13,0,2,6,17,38,3.368,59.2
ATAESG6MGPFTFHCF,1,4,1,1,7,10,23,3.783,69.575
ATAESJWQRVXD2M6Y,1,4,0,0,2,5,11,3.364,59.1
ATAEV5C8CMB7RAHF,1,5,2,2,9,13,31,3.742,68.55
ATAEWRVWYUTVXPEN,1,1,0,0,0,3,4,4.0,75.0
ATAEY2XU9XY8FZEC,1,1,0,0,2,1,4,3.5,62.5
ATAEY2XWJJHPJJGK,1,0,0,0,1,1,2,4.5,87.5
ATAEYFBDVKSRQSCS,1,1,0,0,1,7,9,4.444,86.1
ATAEYFBF4Z3PBQFC,1,1,1,1,2,7,12,4.083,77.075
ATAEZBYMVM68HPXD,1,0,0,0,0,2,2,5.0,100.0
FCPD932SF8ZDZTZ3,1,1,0,1,8,5,15,4.067,76.675
FCPD932SQQHSBRT4,1,0,0,0,3,2,5,4.4,85.0
FCPEJPP48T7GU69A,1,2,0,0,2,1,5,3.0,50.0
FCPEJPP4AZCG5DUY,1,3,0,2,3,7,15,3.733,68.325
FCPEJPP4EMNFRCCK,1,1,0,1,1,1,4,3.25,56.25
FCPEVPZ7AHRJ9A47,1,1,0,0,1,2,4,3.75,68.75
FCTD932Y9KBHSJVJ,1,4,1,1,2,2,10,2.7,42.5
FCTD932YJDHHFMEJ,1,3,2,3,10,13,31,3.903,72.575
FCTE3VVHRXM8UWWJ,1,4,5,2,8,13,32,3.656,66.4
FCTEHMKGPKHNKZ5G,1,0,0,0,0,4,4,5.0,100.0
FCWD9FZG7CYVDXGH,1,1,2,0,6,15,24,4.333,83.325
FCWD9FZGTURYBDZD,1,3,3,4,11,17,38,3.947,73.675
FCWDNFZ9RNTNP7A4,1,7,4,8,14,10,43,3.372,59.3
FCWE3VVH4VEF3DZD,1,0,0,0,0,2,2,5.0,100.0
FCWE3XY7KDWWY5ZW,1,0,1,1,1,1,4,3.5,62.5
FCWE3XY7RHAVFJGX,1,0,0,3,6,8,17,4.294,82.35
FCWE8TQDYQGH3HKZ,1,3,0,1,4,16,24,4.25,81.25
FCWED63358BRAWAZ,1,0,0,0,2,7,9,4.778,94.45
FCWED78RFQBMTBGD,1,0,0,0,0,2,2,5.0,100.0
FCWEJ2RGBHAGFAMF,1,4,0,4,7,17,32,4.031,75.775
FCWEMKY35BEJHQEF,1,7,3,6,7,18,41,3.634,65.85
FCWEMKY3GJW2ZBZT,1,12,7,12,13,28,72,3.528,63.2
FCWERCKGTXU9YHE9,1,0,0,0,0,1,1,5.0,100.0
FCWETZHQGZJWQYPT,1,0,0,0,0,1,1,5.0,100.0
FRND969RCF8T6MFU,1,9,4,10,17,28,68,3.75,68.75
FRNDS3N9HHXWR5XK,1,0,0,0,2,1,3,4.333,83.325
FRNE3KU6HGE6MCKK,1,0,0,1,3,3,7,4.286,82.15
FRNE3VVKR7BFZF6Y,1,10,4,8,11,23,56,3.589,64.725
FRNE3VVKUFMNJDFJ,1,1,1,0,2,2,6,3.5,62.5
MSCD93YT5Z9USGTJ,1,12,3,1,16,21,53,3.585,64.625
MSCD93YT69GV3UYR,1,5,0,4,4,10,23,3.609,65.225
MSCD93YTCCACNXF2,1,30,13,12,14,34,103,3.087,52.175
MSCD93YTCTKWYDSF,1,0,0,0,1,1,2,4.5,87.5
MSCD93YTEZHMFPKK,1,6,1,2,9,17,35,3.857,71.425
